traj_id,split,class_name,seq_folder,n_neighbors,n1_id,n1_class,n1_min_dist,n1_mean_dist,n1_overlap_sec,n2_id,n2_class,n2_min_dist,n2_mean_dist,n2_overlap_sec,n3_id,n3_class,n3_min_dist,n3_mean_dist,n3_overlap_sec,n4_id,n4_class,n4_min_dist,n4_mean_dist,n4_overlap_sec,n5_id,n5_class,n5_min_dist,n5_mean_dist,n5_overlap_sec,min_dist_any,mean_dist_all,n_close_encounters,classes_nearby
0009,train,person,0001_20230322_083454,12,002,person,0.108,8.68,37.32,013,person,0.677,5.836,13.56,000,person,0.732,11.246,37.32,008,scooter,1.225,6.729,11.64,003,person,1.24,12.232,37.32,0.108,8.983,7,"motorcycle,person,scooter"
0010,train,person,0001_20230322_083454,11,012,person,1.311,17.876,15.12,004,person,11.194,15.943,5.28,011,person,13.25,13.55,20.44,001,person,18.607,22.748,29.92,000,person,19.643,23.488,29.92,1.311,21.501,1,"person,scooter"
0011,train,person,0001_20230322_083454,8,004,person,1.173,21.036,29.52,009,person,4.548,16.165,21.36,002,person,4.736,9.333,29.52,000,person,4.785,8.708,24.88,003,person,7.485,10.097,28.04,1.173,7.639,1,person
0012,train,scooter,0001_20230322_083454,12,002,person,0.741,13.111,24.72,000,person,0.824,5.761,29.0,010,person,1.051,4.59,17.04,005,person,1.225,6.463,11.64,013,person,1.319,1.355,11.92,0.741,9.306,6,"motorcycle,person"
0013,train,person,0001_20230322_083454,8,014,person,0.791,1.019,13.44,005,person,1.164,15.4,13.56,004,person,2.2,6.618,26.32,007,person,4.548,16.12,21.36,002,person,7.406,21.04,26.32,0.791,5.505,2,person
0014,train,person,0001_20230322_083454,9,008,scooter,1.051,4.416,17.04,000,person,1.6,9.592,26.28,001,person,1.774,11.02,26.28,003,person,4.272,9.207,12.16,002,person,20.244,21.906,12.76,1.051,13.346,3,"person,scooter"
0015,train,person,0001_20230322_083454,8,012,person,1.804,10.826,13.72,006,person,13.25,13.55,20.44,001,person,18.715,21.436,20.44,000,person,19.49,22.643,20.44,010,person,25.765,28.742,20.44,1.804,24.373,1,"person,scooter"
0016,train,person,0001_20230322_083454,8,006,person,1.311,17.876,15.12,011,person,1.804,10.826,13.72,001,person,20.256,25.922,15.12,000,person,21.539,27.541,15.12,008,scooter,22.515,34.758,12.6,1.311,19.357,2,"person,scooter"
0017,train,person,0001_20230322_083454,9,005,person,0.677,5.836,13.56,002,person,0.699,5.945,13.84,000,person,0.794,0.842,13.84,003,person,0.882,1.041,13.84,008,scooter,1.319,1.355,11.92,0.677,6.382,5,"motorcycle,person,scooter"
0001,train,person,0001_20230322_083454,8,009,person,0.792,1.062,13.44,004,person,2.758,3.6,13.44,007,person,14.571,24.843,10.76,002,person,19.286,28.16,13.44,000,person,19.973,26.012,6.12,0.792,16.086,1,person
0018,train,motorcycle,0001_20230322_083454,8,001,person,3.811,24.01,4.08,003,person,3.949,21.379,4.08,013,person,4.877,22.187,4.08,000,person,5.047,22.831,4.08,005,person,5.544,20.79,4.08,3.811,6.295,0,"person,scooter"
0286,train,person,0001_20230523_105516,29,007,person,0.948,14.547,35.04,010,person,1.312,16.46,29.08,005,person,1.574,18.013,40.28,013,person,2.107,9.733,22.4,002,person,2.11,22.293,64.52,0.948,14.806,3,"bicycle,person,scooter"
0287,train,person,0001_20230523_105516,12,015,person,0.949,1.366,7.96,002,person,1.082,5.53,39.48,004,person,1.195,15.603,44.16,021,scooter,1.312,15.883,12.72,024,person,2.477,4.233,10.84,0.949,9.457,4,"bicycle,person,scooter"
0288,train,person,0001_20230523_105516,25,024,person,0.444,1.315,10.84,013,person,0.616,0.783,8.64,009,person,0.756,13.056,30.56,008,person,0.773,3.04,10.48,001,person,1.082,5.672,39.48,0.444,10.145,6,"bicycle,person,scooter"
0289,train,bicycle,0001_20230523_105516,11,020,bicycle,0.917,0.991,14.0,024,person,3.689,5.277,6.12,009,person,3.719,4.037,9.4,002,person,4.264,6.806,16.56,004,person,6.407,15.819,41.6,0.917,11.004,1,"bicycle,person,scooter"
0290,train,person,0001_20230523_105516,11,001,person,1.19,15.759,44.16,021,scooter,1.247,18.564,12.72,003,bicycle,6.407,15.944,41.6,026,person,10.356,18.827,9.72,020,bicycle,12.873,20.215,14.0,1.19,16.043,2,"bicycle,person,scooter"
0291,train,person,0001_20230523_105516,19,007,person,0.702,0.891,35.04,017,person,0.869,1.012,18.24,000,person,1.574,18.243,40.28,014,bicycle,4.919,12.071,18.76,012,person,5.435,7.129,20.84,0.702,10.478,3,"bicycle,person"
0292,train,bicycle,0001_20230523_105516,19,022,person,5.473,8.266,12.36,019,person,7.912,17.195,14.12,029,bicycle,14.598,28.808,7.32,023,person,15.678,21.975,11.48,014,bicycle,16.502,21.356,14.96,5.473,19.449,0,"bicycle,person"
0293,train,person,0001_20230523_105516,19,005,person,0.702,0.894,35.04,000,person,0.948,14.773,35.04,017,person,1.505,1.864,18.24,014,bicycle,4.116,12.384,13.52,025,bicycle,4.888,17.292,10.68,0.702,10.273,3,"bicycle,person"
0294,train,person,0001_20230523_105516,18,016,person,0.208,0.59,20.92,002,person,0.773,2.959,10.48,013,person,1.798,5.04,22.4,000,person,3.032,11.599,31.16,028,person,5.051,5.604,8.36,0.208,11.646,3,"bicycle,person"
0027,train,person,0001_20230523_105516,11,024,person,0.317,3.353,10.84,002,person,0.756,13.056,30.56,003,bicycle,3.719,4.037,9.4,001,person,6.064,16.018,30.56,021,scooter,7.897,15.989,9.52,0.317,12.339,2,"bicycle,person,scooter"
0295,train,person,0001_20230523_105516,19,012,person,0.503,0.84,20.56,011,person,0.698,0.892,17.92,000,person,1.312,16.46,29.08,028,person,1.533,1.673,6.28,025,bicycle,3.509,11.694,10.68,0.503,9.194,4,"bicycle,person"
0296,train,person,0001_20230523_105516,18,012,person,0.042,0.147,9.4,010,person,0.698,0.892,17.92,028,person,0.822,0.938,8.36,000,person,2.127,10.927,28.84,025,bicycle,4.395,14.724,7.92,0.042,9.904,3,"bicycle,person"
0297,train,person,0001_20230523_105516,17,011,person,0.042,0.147,9.4,010,person,0.503,0.84,20.56,025,bicycle,4.195,12.11,10.68,014,bicycle,4.528,8.196,21.84,016,person,5.025,5.139,11.84,0.042,8.112,2,"bicycle,person"
0298,train,person,0001_20230523_105516,18,002,person,0.616,0.783,8.64,008,person,1.798,5.087,22.4,000,person,2.107,9.878,22.4,016,person,2.662,5.453,20.92,029,bicycle,5.759,10.881,7.32,0.616,13.826,2,"bicycle,person"
0299,train,bicycle,0001_20230523_105516,17,025,bicycle,1.315,2.673,10.08,010,person,3.715,7.534,18.48,007,person,4.116,12.384,13.52,000,person,4.135,23.275,21.84,012,person,4.528,8.196,21.84,1.315,10.838,1,"bicycle,person"
0300,train,person,0001_20230523_105516,11,001,person,0.949,1.366,7.96,002,person,1.757,2.242,21.36,012,person,6.83,12.55,9.64,010,person,6.998,9.672,5.24,014,bicycle,10.708,10.832,8.6,0.949,13.535,2,"bicycle,person"
0301,train,person,0001_20230523_105516,18,008,person,0.208,0.59,20.92,002,person,2.155,3.884,8.16,013,person,2.575,5.399,20.92,000,person,2.815,8.497,20.92,028,person,4.833,5.075,6.84,0.208,11.534,1,"bicycle,person"
0302,train,person,0001_20230523_105516,18,005,person,0.869,1.012,18.24,007,person,1.505,1.763,18.24,000,person,2.361,11.226,18.24,028,person,8.005,9.121,8.36,029,bicycle,8.142,19.629,7.32,0.869,15.152,2,"bicycle,person"
0303,train,bicycle,0001_20230523_105516,10,000,person,1.7,14.179,15.04,024,person,19.117,24.619,7.36,002,person,20.019,26.215,15.04,001,person,20.266,25.39,15.04,009,person,21.682,25.352,15.04,1.7,29.72,1,"bicycle,person,scooter"
0304,train,person,0001_20230523_105516,17,022,person,0.029,0.258,2.28,006,bicycle,7.912,17.48,14.12,007,person,11.619,15.598,13.56,005,person,11.779,15.776,14.12,014,bicycle,12.06,21.246,14.08,0.029,17.527,1,"bicycle,person"
0305,train,bicycle,0001_20230523_105516,4,003,bicycle,0.917,0.991,14.0,001,person,10.678,10.763,14.0,004,person,12.609,20.003,14.0,000,person,29.607,32.205,14.0,,,,,,0.917,13.453,1,"bicycle,person"
0306,train,scooter,0001_20230523_105516,10,004,person,1.303,18.579,12.72,001,person,1.312,15.883,12.72,003,bicycle,7.005,17.245,12.6,009,person,7.897,15.989,9.52,002,person,9.082,18.88,12.72,1.303,14.192,2,"bicycle,person"
0307,train,person,0001_20230523_105516,18,019,person,0.029,0.258,2.28,006,bicycle,5.473,8.266,12.36,029,bicycle,14.041,33.29,7.32,007,person,18.48,27.493,12.36,005,person,18.923,27.835,12.36,0.029,24.572,1,"bicycle,person"
0308,train,person,0001_20230523_105516,12,006,bicycle,15.678,22.222,11.48,022,person,27.554,28.06,3.84,017,person,36.356,40.104,10.24,007,person,36.373,39.357,11.48,005,person,36.598,39.796,11.48,15.678,40.218,0,"bicycle,person"
0309,train,person,0001_20230523_105516,10,009,person,0.317,3.299,10.84,002,person,0.444,1.296,10.84,001,person,2.477,4.417,10.84,003,bicycle,3.689,5.277,6.12,021,scooter,9.634,19.756,6.24,0.317,11.103,2,"bicycle,person,scooter"
0310,train,bicycle,0001_20230523_105516,16,014,bicycle,1.315,2.632,10.08,010,person,3.509,11.694,10.68,000,person,3.811,14.695,10.68,012,person,4.195,12.11,10.68,011,person,4.395,14.724,7.92,1.315,11.317,1,"bicycle,person"
0028,train,person,0001_20230523_105516,9,003,bicycle,9.607,10.513,9.72,004,person,10.331,18.942,9.72,024,person,11.057,13.787,4.44,002,person,11.521,12.991,9.72,009,person,11.833,12.899,7.72,9.607,19.221,0,"bicycle,person,scooter"
0311,train,person,0001_20230523_105516,9,009,person,13.769,15.512,9.68,003,bicycle,14.156,14.34,0.4,004,person,15.109,18.187,2.96,021,scooter,15.461,16.56,0.52,002,person,19.676,20.154,9.68,13.769,21.454,0,"bicycle,person,scooter"
0029,train,person,0001_20230523_105516,13,011,person,0.793,0.905,8.36,010,person,1.533,1.673,6.28,000,person,2.951,4.889,8.36,016,person,4.833,5.098,6.84,008,person,5.051,5.604,8.36,0.793,13.372,2,"bicycle,person"
,,bicycle,0001_20230523_105516,16,000,person,2.491,11.622,7.32,010,person,4.516,12.223,7.32,012,person,5.312,7.272,3.12,011,person,5.351,12.746,7.32,016,person,5.361,11.04,7.32,2.491,10.771,0,"bicycle,person"
0019,train,person,0002_20230322_083625,8,001,person,1.087,13.588,41.08,002,person,1.199,14.168,38.64,003,person,1.685,5.529,38.04,006,person,6.105,16.409,11.68,004,person,7.759,13.581,26.08,1.087,5.652,3,"bicycle,person"
0020,train,person,0002_20230322_083625,7,006,person,0.952,9.169,11.68,000,person,1.087,13.588,41.08,007,bicycle,1.3,8.306,10.08,002,person,5.112,6.762,38.64,003,person,16.253,18.948,18.68,0.952,12.143,3,"bicycle,person"
0002,train,person,0002_20230322_083625,7,006,person,0.814,9.677,9.88,007,bicycle,0.989,8.927,8.28,000,person,1.196,14.158,38.64,001,person,4.629,6.244,38.64,003,person,11.008,14.517,18.04,0.814,10.164,3,"bicycle,person"
0021,train,person,0002_20230322_083625,6,000,person,1.685,5.529,38.04,004,person,8.017,13.303,26.08,005,person,8.376,12.385,24.12,008,person,10.391,22.343,9.48,002,person,10.628,14.317,18.04,1.685,9.225,1,person
0022,train,person,0002_20230322_083625,6,005,person,0.327,0.646,24.12,000,person,7.759,13.581,26.08,003,person,8.017,13.303,26.08,008,person,18.321,31.104,9.48,002,person,26.728,27.107,6.08,0.327,15.289,1,person
0023,train,person,0002_20230322_083625,6,004,person,0.327,0.646,24.12,000,person,8.072,12.342,24.12,003,person,8.376,12.385,24.12,008,person,18.659,31.432,9.48,002,person,25.783,25.949,4.12,0.327,15.156,1,person
0024,train,person,0002_20230322_083625,4,002,person,0.82,9.339,9.88,001,person,0.952,9.169,11.68,007,bicycle,2.569,2.727,10.08,000,person,6.105,16.409,11.68,,,,,,0.82,2.611,2,"bicycle,person"
0025,train,bicycle,0002_20230322_083625,4,002,person,1.138,8.564,8.28,001,person,1.3,8.306,10.08,006,person,2.569,2.727,10.08,000,person,8.645,18.039,10.08,,,,,,1.138,3.413,2,person
0003,train,person,0002_20230322_083625,4,003,person,10.963,23.428,9.48,000,person,11.211,23.922,9.48,005,person,18.659,31.432,9.48,004,person,18.957,31.713,9.48,,,,,,10.963,14.947,0,person
0034,train,person,0002_20230523_111106,22,023,person,1.1,6.181,8.28,018,person,1.201,1.803,12.96,002,person,1.386,3.627,60.52,021,bicycle,1.446,16.569,9.44,007,person,1.512,3.969,34.16,1.1,7.22,8,"bicycle,motorcycle,person"
0341,train,person,0002_20230523_111106,17,007,person,0.044,0.807,17.76,002,person,0.94,5.583,49.08,014,person,0.95,3.613,20.92,016,person,1.077,7.622,16.8,004,bicycle,1.198,12.045,39.76,0.044,8.031,8,"bicycle,motorcycle,person"
0342,train,person,0002_20230523_111106,20,014,person,0.008,0.101,9.0,016,person,0.819,2.216,16.8,015,person,0.86,0.86,0.32,017,person,0.867,1.018,13.8,001,person,0.94,5.583,49.08,0.008,6.639,8,"bicycle,motorcycle,person"
0343,train,person,0002_20230523_111106,16,006,person,2.387,8.36,17.8,001,person,5.089,19.756,48.0,000,person,6.264,19.125,48.0,007,person,6.914,10.296,4.76,002,person,9.005,20.895,36.08,2.387,14.483,0,"bicycle,motorcycle,person"
0344,train,bicycle,0002_20230523_111106,15,002,person,1.173,8.981,27.84,001,person,1.198,12.045,39.76,016,person,1.318,5.578,16.8,012,person,1.622,14.501,25.36,014,person,1.961,6.252,20.92,1.173,11.008,5,"bicycle,motorcycle,person"
0345,train,person,0002_20230523_111106,17,011,person,2.417,14.528,20.2,003,person,10.663,19.655,30.16,006,person,17.737,28.558,24.72,004,bicycle,20.826,28.528,21.92,026,motorcycle,24.175,28.427,3.76,2.417,26.161,0,"bicycle,motorcycle,person"
0035,train,person,0002_20230523_111106,13,001,person,1.448,19.986,30.8,007,person,1.69,26.535,24.0,003,person,2.376,8.226,17.8,000,person,3.155,22.076,37.04,002,person,4.21,22.43,37.04,1.448,15.195,2,"bicycle,person"
0346,train,person,0002_20230523_111106,11,001,person,0.044,0.793,17.76,022,person,1.39,2.903,8.96,018,person,1.459,2.216,12.96,000,person,1.512,3.942,34.16,006,person,1.69,26.878,24.0,0.044,6.065,5,person
0347,train,person,0002_20230523_111106,7,024,motorcycle,17.141,27.159,6.28,009,person,19.587,27.17,29.36,025,motorcycle,24.503,28.451,4.56,010,person,24.571,33.226,26.52,013,person,25.746,30.291,23.16,17.141,28.876,0,"motorcycle,person"
0348,train,person,0002_20230523_111106,7,010,person,1.155,10.985,27.68,013,person,2.023,9.484,24.32,025,motorcycle,3.302,12.403,4.56,019,person,5.827,7.153,2.52,024,motorcycle,6.545,12.332,4.6,1.155,10.185,1,"motorcycle,person"
0349,train,person,0002_20230523_111106,5,009,person,1.155,11.167,27.68,013,person,1.165,17.147,24.32,025,motorcycle,4.065,11.601,4.56,008,person,24.571,33.226,26.52,024,motorcycle,34.645,40.322,1.76,1.155,13.12,2,"motorcycle,person"
0350,train,person,0002_20230523_111106,15,005,person,2.417,14.528,20.2,006,person,14.736,17.802,7.84,003,person,15.763,19.541,26.44,027,motorcycle,21.332,23.466,2.04,026,motorcycle,22.721,27.856,3.76,2.417,25.141,0,"bicycle,motorcycle,person"
0351,train,person,0002_20230523_111106,15,004,bicycle,1.622,14.501,25.36,014,person,1.963,8.198,7.8,001,person,2.082,2.312,25.36,002,person,2.222,8.991,25.36,021,bicycle,2.355,18.307,9.44,1.622,12.933,2,"bicycle,motorcycle,person"
0036,train,person,0002_20230523_111106,4,010,person,1.165,17.715,24.32,009,person,2.038,9.635,24.32,025,motorcycle,3.808,13.26,4.56,008,person,25.746,30.038,23.16,,,,,,1.165,8.189,1,"motorcycle,person"
0037,train,person,0002_20230523_111106,10,002,person,0.008,0.101,9.0,016,person,0.932,2.357,9.0,001,person,0.95,3.613,20.92,000,person,1.784,4.977,20.92,004,bicycle,1.961,6.252,20.92,0.008,9.004,6,"bicycle,person"
0352,train,person,0002_20230523_111106,10,023,person,0.152,7.192,8.28,022,person,0.266,0.466,0.8,002,person,1.351,1.351,0.32,019,person,3.703,14.567,8.64,007,person,4.884,5.482,5.28,0.152,12.561,3,"motorcycle,person"
0353,train,person,0002_20230523_111106,13,002,person,0.819,2.216,16.8,014,person,0.932,2.357,9.0,001,person,1.077,7.56,16.8,004,bicycle,1.318,5.705,16.8,000,person,2.289,5.343,16.8,0.819,11.288,4,"bicycle,motorcycle,person"
0354,train,person,0002_20230523_111106,9,002,person,0.867,1.018,13.8,000,person,2.664,2.829,13.8,001,person,3.888,4.513,13.8,012,person,6.393,6.732,9.4,006,person,7.86,19.61,12.68,0.867,13.225,1,"bicycle,person"
0355,train,person,0002_20230523_111106,6,000,person,1.201,1.911,12.96,001,person,1.459,2.021,12.52,007,person,1.459,2.336,12.96,002,person,2.252,3.348,12.96,006,person,18.925,27.702,12.96,1.201,9.255,3,person
0356,train,person,0002_20230523_111106,5,015,person,3.703,14.567,8.64,009,person,5.827,7.153,2.52,024,motorcycle,7.585,10.063,4.2,000,person,13.401,13.401,0.36,008,person,32.569,38.537,6.0,3.703,12.617,0,"motorcycle,person"
0357,train,person,0002_20230523_111106,7,002,person,2.444,3.969,8.2,000,person,2.652,4.642,10.6,022,person,4.098,4.738,8.68,015,person,5.447,5.605,2.72,007,person,5.636,8.232,10.6,2.444,10.179,0,person
0358,train,bicycle,0002_20230523_111106,13,000,person,1.446,16.569,9.44,001,person,2.177,17.502,9.44,012,person,2.355,18.274,9.44,002,person,3.265,13.958,9.44,014,person,3.288,11.165,5.72,1.446,10.061,1,"bicycle,motorcycle,person"
0038,train,person,0002_20230523_111106,6,015,person,0.494,0.566,0.8,007,person,1.39,2.903,8.96,002,person,1.506,2.072,8.48,000,person,1.638,3.319,8.96,020,person,4.098,4.738,8.68,0.494,8.191,4,person
0359,train,person,0002_20230523_111106,4,015,person,0.152,8.013,8.28,000,person,1.1,6.181,8.28,007,person,8.122,12.385,4.36,020,person,14.302,15.976,1.8,,,,,,0.152,5.919,2,person
0360,train,motorcycle,0002_20230523_111106,5,009,person,6.545,12.264,4.6,019,person,7.585,10.063,4.2,015,person,13.695,18.541,1.96,008,person,17.183,27.714,6.28,010,person,37.321,41.742,1.76,6.545,16.466,0,person
0361,train,motorcycle,0002_20230523_111106,4,009,person,3.302,12.403,4.56,013,person,3.808,14.71,4.56,010,person,4.065,11.601,4.56,008,person,24.503,28.451,4.56,,,,,,3.302,8.919,0,person
0362,train,motorcycle,0002_20230523_111106,12,000,person,5.927,24.713,3.76,001,person,7.582,27.712,3.76,002,person,7.598,21.599,3.76,004,bicycle,8.478,19.474,3.76,012,person,9.236,29.889,3.76,5.927,13.501,0,"bicycle,motorcycle,person"
0363,train,motorcycle,0002_20230523_111106,12,028,motorcycle,1.889,1.889,0.08,000,person,6.036,14.638,2.04,001,person,7.1,17.343,2.04,002,person,7.528,11.979,2.04,004,bicycle,8.314,12.556,2.04,1.889,11.147,1,"bicycle,motorcycle,person"
,,motorcycle,0002_20230523_111106,12,027,motorcycle,1.889,1.889,0.08,021,bicycle,7.005,7.872,0.68,026,motorcycle,15.648,15.91,1.72,002,person,21.156,31.582,1.72,004,bicycle,21.714,30.087,1.72,1.889,22.036,1,"bicycle,motorcycle,person"
0026,train,person,0003_20230322_083935,8,004,person,1.21,16.366,19.16,002,person,3.753,6.994,26.24,007,person,3.934,8.866,10.16,005,person,5.047,7.237,14.68,003,person,17.51,24.499,22.24,1.21,15.23,1,person
0004,train,person,0003_20230322_083935,8,003,person,0.319,0.429,22.48,004,person,13.879,20.657,19.4,002,person,15.52,21.978,26.24,000,person,17.652,25.045,31.84,005,person,21.215,25.243,14.92,0.319,23.032,1,person
0027,train,person,0003_20230322_083935,6,005,person,0.917,2.698,13.4,004,person,1.77,15.439,17.88,000,person,3.222,6.544,26.24,007,person,5.118,13.141,10.16,001,person,15.52,21.978,26.24,0.917,7.033,2,person
0028,train,person,0003_20230322_083935,6,001,person,0.319,0.429,22.48,004,person,13.9,20.433,19.4,002,person,15.652,21.311,20.96,000,person,17.51,24.499,22.24,005,person,21.091,25.028,14.92,0.319,15.948,1,person
0029,train,person,0003_20230322_083935,6,000,person,1.21,16.07,19.16,002,person,1.77,15.439,17.88,005,person,3.502,15.485,14.92,007,person,7.547,14.686,10.16,001,person,13.879,20.657,19.4,1.21,6.968,2,person
0005,train,person,0003_20230322_083935,6,002,person,0.917,2.864,13.4,004,person,3.502,15.646,14.92,000,person,5.047,7.237,14.68,007,person,6.215,16.296,10.0,003,person,21.091,25.028,14.92,0.917,9.665,1,person
0006,train,person,0003_20230322_083935,3,008,person,0.191,0.776,8.44,000,person,36.198,38.157,10.36,001,person,43.855,45.31,3.0,,,,,,,,,,,0.191,26.748,1,person
0030,train,person,0003_20230322_083935,6,000,person,3.934,9.163,10.16,002,person,5.118,13.141,10.16,005,person,6.215,15.795,10.0,004,person,7.547,14.686,10.16,003,person,26.876,27.866,10.16,3.934,12.821,0,person
0007,train,person,0003_20230322_083935,3,006,person,0.273,0.803,8.44,000,person,36.539,38.154,9.68,001,person,45.212,45.516,1.08,,,,,,,,,,,0.273,27.341,1,person
0364,train,person,0003_20230523_111514,16,006,person,0.128,8.12,75.16,010,person,0.792,10.709,30.4,012,bicycle,0.8,12.121,13.96,002,person,0.885,3.575,90.84,005,person,1.25,3.955,77.72,0.128,5.296,6,"bicycle,person,scooter"
0365,train,person,0003_20230523_111514,16,003,person,0.371,0.79,78.08,010,person,1.333,14.469,26.16,012,bicycle,1.496,10.627,13.96,005,person,2.076,7.604,73.48,002,person,4.257,12.214,86.6,0.371,11.033,3,"bicycle,person,scooter"
0366,train,person,0003_20230523_111514,16,000,person,0.885,3.575,90.84,009,person,0.987,10.107,18.4,004,person,1.265,18.893,77.92,006,person,1.346,13.483,59.8,010,person,1.613,11.252,30.4,0.885,6.596,5,"bicycle,person,scooter"
0367,train,person,0003_20230523_111514,12,001,person,0.371,0.788,78.08,012,bicycle,0.971,10.82,13.64,005,person,3.15,10.179,54.04,004,person,5.18,16.135,54.84,002,person,5.451,14.859,67.16,0.371,12.609,2,"bicycle,person"
0368,train,person,0003_20230523_111514,15,006,person,1.083,10.174,47.48,016,scooter,1.168,10.498,7.32,002,person,1.43,18.839,77.92,005,person,1.741,19.246,77.12,000,person,1.964,19.882,77.92,1.083,14.132,5,"bicycle,person,scooter"
0369,train,person,0003_20230523_111514,15,000,person,1.25,3.955,77.72,006,person,1.608,13.94,46.68,010,person,1.672,12.061,30.4,004,person,1.768,19.319,77.12,012,bicycle,2.054,11.2,13.96,1.25,6.406,4,"bicycle,person,scooter"
0370,train,person,0003_20230523_111514,11,000,person,0.128,8.12,75.16,004,person,1.083,10.126,47.48,002,person,1.346,13.483,59.8,007,person,1.563,13.207,41.88,005,person,1.608,13.94,46.68,0.128,7.457,5,"bicycle,person"
0371,train,person,0003_20230523_111514,10,000,person,1.545,22.161,41.88,006,person,1.594,13.05,41.88,002,person,2.576,20.987,41.88,004,person,2.867,6.017,41.88,005,person,5.512,22.478,41.88,1.545,14.614,2,"bicycle,person"
0372,train,person,0003_20230523_111514,10,011,person,0.176,0.698,15.72,009,person,2.33,15.913,31.76,000,person,3.698,12.456,33.88,006,person,3.899,12.714,33.88,002,person,13.273,15.49,20.52,0.176,17.332,1,person
0373,train,person,0003_20230523_111514,10,002,person,0.987,9.961,18.4,011,person,1.789,10.036,15.72,005,person,1.9,6.687,5.28,008,person,2.33,15.938,31.76,000,person,2.459,14.391,33.76,0.987,13.345,3,person
0374,train,person,0003_20230523_111514,11,000,person,0.792,10.709,30.4,012,bicycle,1.213,17.559,7.04,001,person,1.333,14.469,26.16,002,person,1.613,11.252,30.4,005,person,1.672,12.061,30.4,0.792,11.124,5,"bicycle,person,scooter"
0375,train,person,0003_20230523_111514,7,008,person,0.176,0.69,15.72,009,person,1.789,10.036,15.72,000,person,2.972,8.483,15.72,006,person,3.155,8.733,15.72,002,person,13.628,14.506,12.0,0.176,10.266,2,person
0039,train,bicycle,0003_20230523_111514,9,000,person,0.8,11.856,13.96,003,person,0.971,10.557,13.64,010,person,1.213,15.864,7.04,001,person,1.496,10.627,13.96,002,person,2.031,11.699,13.96,0.8,9.405,4,person
0376,train,person,0003_20230523_111514,9,001,person,6.649,13.015,12.12,005,person,9.452,15.861,12.12,002,person,11.855,18.185,12.12,000,person,13.068,19.446,12.12,016,scooter,18.459,23.555,5.28,6.649,17.624,0,"bicycle,person,scooter"
0377,train,bicycle,0003_20230523_111514,9,015,person,9.298,10.502,1.8,000,person,9.584,15.076,10.32,002,person,11.252,16.575,10.32,005,person,13.506,18.452,10.32,001,person,15.444,19.528,6.6,9.298,18.467,0,"person,scooter"
