traj_id,split,class_name,seq_folder,n_coexisting_agents,coexisting_classes,min_dist_overall,n_frames_below_3m,n_close_agents,n1_traj_id,n1_class,n1_common_timestamps,n1_frames_below_3m,n1_min_dist,n1_mean_dist,n1_overlap_sec,n2_traj_id,n2_class,n2_common_timestamps,n2_frames_below_3m,n2_min_dist,n2_mean_dist,n2_overlap_sec,n3_traj_id,n3_class,n3_common_timestamps,n3_frames_below_3m,n3_min_dist,n3_mean_dist,n3_overlap_sec,n4_traj_id,n4_class,n4_common_timestamps,n4_frames_below_3m,n4_min_dist,n4_mean_dist,n4_overlap_sec,n5_traj_id,n5_class,n5_common_timestamps,n5_frames_below_3m,n5_min_dist,n5_mean_dist,n5_overlap_sec
0306,train,scooter,0001_20230523_105516,3,person,1.312,3,1,0287,person,32,3,1.312,15.883,12.72,0027,person,24,0,7.897,15.989,9.52,0028,person,25,0,15.319,22.839,9.72,,,,,,,,,,,,,,
0307,train,person,0001_20230523_105516,3,"bicycle,person",14.041,0,0,,bicycle,19,0,14.041,33.29,7.32,0298,person,31,0,33.098,41.408,12.36,0299,bicycle,6,0,34.984,38.992,2.24,,,,,,,,,,,,,,
0308,train,person,0001_20230523_105516,2,person,36.356,0,0,0302,person,26,0,36.356,40.104,10.24,0296,person,29,0,45.022,49.089,11.48,,,,,,,,,,,,,,,,,,,,,
0309,train,person,0001_20230523_105516,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310,train,bicycle,0001_20230523_105516,4,person,3.509,0,0,0295,person,27,0,3.509,11.694,10.68,0297,person,27,0,4.195,12.11,10.68,0294,person,27,0,5.939,11.295,10.68,0304,person,26,0,13.687,27.008,10.12,,,,,,,
0028,train,person,0001_20230523_105516,3,"person,scooter",11.833,0,0,0027,person,20,0,11.833,12.899,7.72,0306,scooter,25,0,15.319,22.839,9.72,0287,person,25,0,19.299,20.215,9.72,,,,,,,,,,,,,,
0311,train,person,0001_20230523_105516,1,person,15.109,0,0,0290,person,8,0,15.109,18.187,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0029,train,person,0001_20230523_105516,2,person,1.533,16,1,0295,person,16,16,1.533,1.673,6.28,0294,person,21,0,5.051,5.604,8.36,,,,,,,,,,,,,,,,,,,,,
,,bicycle,0001_20230523_105516,3,"bicycle,person",5.759,0,0,0298,person,19,0,5.759,10.881,7.32,0307,person,19,0,14.041,33.29,7.32,0299,bicycle,3,0,27.438,28.042,1.04,,,,,,,,,,,,,,
0019,train,person,0002_20230322_083625,4,"bicycle,person",1.087,71,2,0020,person,103,11,1.087,13.588,41.08,0021,person,96,60,1.685,5.529,38.04,0024,person,30,0,6.105,16.409,11.68,0025,bicycle,26,0,8.645,18.039,10.08,,,,,,,
0020,train,person,0002_20230322_083625,4,"bicycle,person",0.952,21,3,0024,person,30,5,0.952,9.169,11.68,0019,person,103,11,1.087,13.588,41.08,0025,bicycle,26,5,1.3,8.306,10.08,0021,person,47,0,16.253,18.948,18.68,,,,,,,
0002,train,person,0002_20230322_083625,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021,train,person,0002_20230322_083625,2,person,1.685,60,1,0019,person,96,60,1.685,5.529,38.04,0020,person,47,0,16.253,18.948,18.68,,,,,,,,,,,,,,,,,,,,,
0022,train,person,0002_20230322_083625,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023,train,person,0002_20230322_083625,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0024,train,person,0002_20230322_083625,3,"bicycle,person",0.952,31,2,0020,person,30,5,0.952,9.169,11.68,0025,bicycle,26,26,2.569,2.727,10.08,0019,person,30,0,6.105,16.409,11.68,,,,,,,,,,,,,,
0025,train,bicycle,0002_20230322_083625,3,person,1.3,31,2,0020,person,26,5,1.3,8.306,10.08,0024,person,26,26,2.569,2.727,10.08,0019,person,26,0,8.645,18.039,10.08,,,,,,,,,,,,,,
0003,train,person,0002_20230322_083625,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0034,train,person,0002_20230523_111106,7,"bicycle,motorcycle,person",1.446,72,4,0358,bicycle,24,2,1.446,16.569,9.44,0341,person,153,54,1.708,2.966,61.0,0037,person,53,7,1.784,4.977,20.92,0344,bicycle,100,9,2.32,11.848,39.76,0363,motorcycle,6,0,6.036,14.638,2.04
0341,train,person,0002_20230523_111106,7,"bicycle,motorcycle,person",0.95,105,4,0037,person,53,38,0.95,3.613,20.92,0344,bicycle,100,11,1.198,12.045,39.76,0034,person,153,54,1.708,2.966,61.0,0358,bicycle,24,2,2.177,17.502,9.44,0343,person,121,0,5.089,19.756,48.0
0342,train,person,0002_20230523_111106,2,person,0.819,39,2,0353,person,43,38,0.819,2.216,16.8,0351,person,64,1,2.222,8.991,25.36,,,,,,,,,,,,,,,,,,,,,
0343,train,person,0002_20230523_111106,7,"bicycle,motorcycle,person",5.089,0,0,0341,person,121,0,5.089,19.756,48.0,0034,person,121,0,6.264,19.125,48.0,0363,motorcycle,6,0,14.641,19.272,2.04,0350,person,67,0,15.763,19.541,26.44,0358,bicycle,24,0,18.763,25.662,9.44
0344,train,bicycle,0002_20230523_111106,7,"bicycle,motorcycle,person",1.198,29,3,0341,person,100,11,1.198,12.045,39.76,0037,person,53,9,1.961,6.252,20.92,0034,person,100,9,2.32,11.848,39.76,0358,bicycle,24,0,3.939,14.133,9.44,0363,motorcycle,6,0,8.314,12.556,2.04
0345,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0035,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0346,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0347,train,person,0002_20230523_111106,1,person,58.013,0,0,0352,person,10,0,58.013,59.077,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0348,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0349,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0350,train,person,0002_20230523_111106,7,"bicycle,motorcycle,person",15.763,0,0,0343,person,67,0,15.763,19.541,26.44,0363,motorcycle,6,0,21.332,23.466,2.04,0358,bicycle,24,0,23.035,33.239,9.44,0037,person,24,0,28.041,35.368,9.32,0344,bicycle,67,0,30.829,37.28,26.44
0351,train,person,0002_20230523_111106,2,person,2.222,1,1,0342,person,64,1,2.222,8.991,25.36,0353,person,40,0,4.741,10.199,15.6,,,,,,,,,,,,,,,,,,,,,
0036,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037,train,person,0002_20230523_111106,6,"bicycle,person",0.95,54,3,0341,person,53,38,0.95,3.613,20.92,0034,person,53,7,1.784,4.977,20.92,0344,bicycle,53,9,1.961,6.252,20.92,0358,bicycle,15,0,3.288,11.165,5.72,0343,person,53,0,18.821,20.613,20.92
0352,train,person,0002_20230523_111106,1,person,58.013,0,0,0347,person,10,0,58.013,59.077,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0353,train,person,0002_20230523_111106,2,person,0.819,38,1,0342,person,43,38,0.819,2.216,16.8,0351,person,40,0,4.741,10.199,15.6,,,,,,,,,,,,,,,,,,,,,
0354,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0355,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0356,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0357,train,person,0002_20230523_111106,1,person,14.302,0,0,0359,person,5,0,14.302,15.976,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0358,train,bicycle,0002_20230523_111106,7,"bicycle,motorcycle,person",1.446,4,2,0034,person,24,2,1.446,16.569,9.44,0341,person,24,2,2.177,17.502,9.44,0037,person,15,0,3.288,11.165,5.72,0344,bicycle,24,0,3.939,14.133,9.44,0363,motorcycle,6,0,10.002,16.127,2.04
0038,train,person,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0359,train,person,0002_20230523_111106,1,person,14.302,0,0,0357,person,5,0,14.302,15.976,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360,train,motorcycle,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0361,train,motorcycle,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0362,train,motorcycle,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0363,train,motorcycle,0002_20230523_111106,6,"bicycle,person",6.036,0,0,0034,person,6,0,6.036,14.638,2.04,0341,person,6,0,7.1,17.343,2.04,0344,bicycle,6,0,8.314,12.556,2.04,0358,bicycle,6,0,10.002,16.127,2.04,0343,person,6,0,14.641,19.272,2.04
,,motorcycle,0002_20230523_111106,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0026,train,person,0003_20230322_083935,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,train,person,0003_20230322_083935,1,person,0.319,57,1,0028,person,57,57,0.319,0.429,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0027,train,person,0003_20230322_083935,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0028,train,person,0003_20230322_083935,1,person,0.319,57,1,0004,person,57,57,0.319,0.429,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0029,train,person,0003_20230322_083935,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,train,person,0003_20230322_083935,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006,train,person,0003_20230322_083935,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030,train,person,0003_20230322_083935,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0007,train,person,0003_20230322_083935,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0364,train,person,0003_20230523_111514,3,person,0.792,196,3,0374,person,77,11,0.792,10.709,30.4,0366,person,228,164,0.885,3.575,90.84,0369,person,195,21,1.25,3.955,77.72,,,,,,,,,,,,,,
0365,train,person,0003_20230523_111514,2,person,15.149,0,0,0378,person,24,0,15.149,16.161,9.32,0370,person,177,0,20.18,21.227,70.72,,,,,,,,,,,,,,,,,,,,,
0366,train,person,0003_20230523_111514,3,person,0.885,319,3,0364,person,228,164,0.885,3.575,90.84,0374,person,77,9,1.613,11.252,30.4,0369,person,195,146,2.159,2.816,77.72,,,,,,,,,,,,,,
0367,train,person,0003_20230523_111514,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0368,train,person,0003_20230523_111514,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0369,train,person,0003_20230523_111514,3,person,1.25,176,3,0364,person,195,21,1.25,3.955,77.72,0374,person,77,9,1.672,12.061,30.4,0366,person,195,146,2.159,2.816,77.72,,,,,,,,,,,,,,
0370,train,person,0003_20230523_111514,1,person,20.18,0,0,0365,person,177,0,20.18,21.227,70.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0371,train,person,0003_20230523_111514,1,person,42.382,0,0,0373,person,7,0,42.382,43.61,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0372,train,person,0003_20230523_111514,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0373,train,person,0003_20230523_111514,2,person,1.789,5,1,0375,person,40,5,1.789,10.036,15.72,0371,person,7,0,42.382,43.61,2.68,,,,,,,,,,,,,,,,,,,,,
0374,train,person,0003_20230523_111514,3,person,0.792,29,3,0364,person,77,11,0.792,10.709,30.4,0366,person,77,9,1.613,11.252,30.4,0369,person,77,9,1.672,12.061,30.4,,,,,,,,,,,,,,
0375,train,person,0003_20230523_111514,1,person,1.789,5,1,0373,person,40,5,1.789,10.036,15.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0039,train,bicycle,0003_20230523_111514,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0376,train,person,0003_20230523_111514,1,bicycle,35.056,0,0,0377,bicycle,7,0,35.056,35.809,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0377,train,bicycle,0003_20230523_111514,1,person,35.056,0,0,0376,person,7,0,35.056,35.809,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0378,train,person,0003_20230523_111514,1,person,15.149,0,0,0365,person,24,0,15.149,16.161,9.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0040,train,scooter,0003_20230523_111514,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031,train,person,0004_20230322_084251,5,"motorcycle,person",1.115,62,1,0035,person,108,62,1.115,3.934,42.84,0032,person,119,0,3.401,18.992,47.28,0033,person,115,0,3.633,7.301,45.72,0034,person,112,0,4.091,5.047,44.56,0038,motorcycle,15,0,17.968,21.383,5.88
0032,train,person,0004_20230322_084251,5,"motorcycle,person",1.327,6,2,0035,person,108,4,1.327,17.986,42.84,0038,motorcycle,15,2,2.444,10.734,5.88,0033,person,115,0,3.277,20.618,45.72,0031,person,119,0,3.401,18.992,47.28,0034,person,112,0,3.58,19.706,44.56
0033,train,person,0004_20230322_084251,5,"motorcycle,person",2.671,125,2,0034,person,112,59,2.671,4.371,44.56,0035,person,108,66,2.731,3.292,42.84,0032,person,115,0,3.277,20.618,45.72,0031,person,115,0,3.633,7.301,45.72,0038,motorcycle,15,0,16.865,20.948,5.88
0034,train,person,0004_20230322_084251,5,"motorcycle,person",2.671,65,2,0033,person,112,59,2.671,4.371,44.56,0035,person,108,6,2.91,4.143,42.84,0032,person,112,0,3.58,19.706,44.56,0031,person,112,0,4.091,5.047,44.56,0038,motorcycle,15,0,19.321,23.297,5.88
0035,train,person,0004_20230322_084251,5,"motorcycle,person",1.115,138,4,0031,person,108,62,1.115,3.934,42.84,0032,person,108,4,1.327,17.986,42.84,0033,person,108,66,2.731,3.292,42.84,0034,person,108,6,2.91,4.143,42.84,0038,motorcycle,15,0,16.99,20.597,5.88
0036,train,person,0004_20230322_084251,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037,train,person,0004_20230322_084251,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038,train,motorcycle,0004_20230322_084251,5,person,2.444,2,1,0032,person,15,2,2.444,10.734,5.88,0033,person,15,0,16.865,20.948,5.88,0035,person,15,0,16.99,20.597,5.88,0031,person,15,0,17.968,21.383,5.88,0034,person,15,0,19.321,23.297,5.88
0039,train,person,0005_20230322_084431,2,person,1.194,154,2,0040,person,88,87,1.194,1.84,34.88,0041,person,78,67,1.829,2.628,31.12,,,,,,,,,,,,,,,,,,,,,
0040,train,person,0005_20230322_084431,2,person,1.194,130,2,0039,person,88,87,1.194,1.84,34.88,0041,person,78,43,1.639,2.753,31.12,,,,,,,,,,,,,,,,,,,,,
0041,train,person,0005_20230322_084431,2,person,1.639,110,2,0040,person,78,43,1.639,2.753,31.12,0039,person,78,67,1.829,2.628,31.12,,,,,,,,,,,,,,,,,,,,,
0008,train,person,0005_20230322_084431,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042,train,person,0005_20230322_084431,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0043,train,person,0005_20230322_084431,1,person,21.639,0,0,0044,person,22,0,21.639,23.062,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0044,train,person,0005_20230322_084431,1,person,21.639,0,0,0043,person,22,0,21.639,23.062,8.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0045,train,person,0006_20230322_113007,1,person,2.446,2,1,0048,person,124,2,2.446,20.806,49.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0046,train,person,0006_20230322_113007,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0047,train,person,0006_20230322_113007,1,person,3.262,0,0,0050,person,66,0,3.262,17.1,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0048,train,person,0006_20230322_113007,1,person,2.446,2,1,0045,person,124,2,2.446,20.806,49.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0049,train,person,0006_20230322_113007,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0050,train,person,0006_20230322_113007,1,person,3.262,0,0,0047,person,66,0,3.262,17.1,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0051,train,person,0006_20230322_113007,1,person,20.14,0,0,0053,person,35,0,20.14,21.78,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0052,train,person,0006_20230322_113007,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0009,train,person,0006_20230322_113007,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0053,train,person,0006_20230322_113007,1,person,20.14,0,0,0051,person,35,0,20.14,21.78,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0054,train,person,0006_20230322_113007,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0055,train,person,0006_20230322_113007,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0056,train,motorcycle,0006_20230322_113007,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0057,train,person,0007_20230322_114343,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0058,train,person,0007_20230322_114343,3,person,3.251,0,0,0062,person,57,0,3.251,13.725,22.56,0010,person,107,0,11.745,24.42,42.56,0060,person,9,0,42.124,42.948,3.36,,,,,,,,,,,,,,
0010,train,person,0007_20230322_114343,2,person,11.745,0,0,0058,person,107,0,11.745,24.42,42.56,0062,person,57,0,13.84,18.565,22.56,,,,,,,,,,,,,,,,,,,,,
0059,train,person,0007_20230322_114343,0,,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0060,train,person,0007_20230322_114343,1,person,42.124,0,0,0058,person,9,0,42.124,42.948,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
