traj_id,split,class_name,seq_folder,total_interactions,interactions_with_vrus,interactions_with_vehicles,n_vru_coexisting,n_vru_close,min_dist_vru,n_frames_below_3m_vru,vru_classes_nearby,n_vehicle_coexisting,n_vehicle_close,min_dist_vehicle,n_frames_below_3m_veh,closest_agent_id,closest_agent_type,closest_agent_class,closest_agent_dist,closest_agent_common_ts
0034,train,person,0002_20230523_111106,9,7,2,7,4,1.446,72,"bicycle,motorcycle,person",2,0,3.636,0,021,vru,bicycle,1.446,24
0341,train,person,0002_20230523_111106,9,7,2,7,4,0.95,105,"bicycle,motorcycle,person",2,0,5.438,0,014,vru,person,0.95,53
0342,train,person,0002_20230523_111106,4,2,2,2,2,0.819,39,person,2,0,4.519,0,016,vru,person,0.819,43
0343,train,person,0002_20230523_111106,9,7,2,7,0,5.089,0,"bicycle,motorcycle,person",2,1,2.762,3,1036,vehicle,car,2.762,22
0344,train,bicycle,0002_20230523_111106,9,7,2,7,3,1.198,29,"bicycle,motorcycle,person",2,0,14.051,0,001,vru,person,1.198,100
0345,train,person,0002_20230523_111106,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0035,train,person,0002_20230523_111106,2,0,2,0,0,-1,0,,2,0,14.454,0,1074,vehicle,car,14.454,9
0346,train,person,0002_20230523_111106,5,0,5,0,0,-1,0,,5,1,2.898,1,1025,vehicle,car,2.898,23
0347,train,person,0002_20230523_111106,11,1,10,1,0,58.013,0,person,10,0,4.037,0,1072,vehicle,car,4.037,17
0348,train,person,0002_20230523_111106,4,0,4,0,0,-1,0,,4,0,3.292,0,1070,vehicle,car,3.292,14
0349,train,person,0002_20230523_111106,5,0,5,0,0,-1,0,,5,0,4.823,0,1062,vehicle,car,4.823,10
0350,train,person,0002_20230523_111106,7,7,0,7,0,15.763,0,"bicycle,motorcycle,person",0,0,-1,0,003,vru,person,15.763,67
0351,train,person,0002_20230523_111106,4,2,2,2,1,2.222,1,person,2,0,4.55,0,002,vru,person,2.222,64
0036,train,person,0002_20230523_111106,4,0,4,0,0,-1,0,,4,0,5.517,0,1055,vehicle,car,5.517,8
0037,train,person,0002_20230523_111106,7,6,1,6,3,0.95,54,"bicycle,person",1,0,12.568,0,001,vru,person,0.95,53
0352,train,person,0002_20230523_111106,5,1,4,1,0,58.013,0,person,4,0,10.512,0,1085,vehicle,car,10.512,46
0353,train,person,0002_20230523_111106,4,2,2,2,1,0.819,38,person,2,0,4.126,0,002,vru,person,0.819,43
0354,train,person,0002_20230523_111106,2,0,2,0,0,-1,0,,2,0,7.705,0,1073,vehicle,car,7.705,12
0355,train,person,0002_20230523_111106,3,0,3,0,0,-1,0,,3,1,2.583,9,1031,vehicle,car,2.583,24
0356,train,person,0002_20230523_111106,1,0,1,0,0,-1,0,,1,0,32.022,0,1054,vehicle,car,32.022,2
0357,train,person,0002_20230523_111106,3,1,2,1,0,14.302,0,person,2,1,0.857,6,1035,vehicle,car,0.857,14
0358,train,bicycle,0002_20230523_111106,7,7,0,7,2,1.446,4,"bicycle,motorcycle,person",0,0,-1,0,000,vru,person,1.446,24
0038,train,person,0002_20230523_111106,3,0,3,0,0,-1,0,,3,0,10.213,0,1027,vehicle,car,10.213,23
0359,train,person,0002_20230523_111106,5,1,4,1,0,14.302,0,person,4,0,7.777,0,1044,vehicle,car,7.777,14
0360,train,motorcycle,0002_20230523_111106,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0361,train,motorcycle,0002_20230523_111106,1,0,1,0,0,-1,0,,1,0,33.887,0,1077,vehicle,car,33.887,9
0362,train,motorcycle,0002_20230523_111106,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0363,train,motorcycle,0002_20230523_111106,6,6,0,6,0,6.036,0,"bicycle,person",0,0,-1,0,000,vru,person,6.036,6
,,motorcycle,0002_20230523_111106,1,0,1,0,0,-1,0,,1,0,12.844,0,1005,vehicle,car,12.844,1
0026,train,person,0003_20230322_083935,5,0,5,0,0,-1,0,,5,0,3.593,0,1037,vehicle,car,3.593,44
0004,train,person,0003_20230322_083935,5,1,4,1,1,0.319,57,person,4,0,3.369,0,003,vru,person,0.319,57
0027,train,person,0003_20230322_083935,2,0,2,0,0,-1,0,,2,0,12.225,0,1044,vehicle,car,12.225,36
0028,train,person,0003_20230322_083935,5,1,4,1,1,0.319,57,person,4,0,3.082,0,001,vru,person,0.319,57
0029,train,person,0003_20230322_083935,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0005,train,person,0003_20230322_083935,3,0,3,0,0,-1,0,,3,0,5.248,0,1035,vehicle,car,5.248,37
0006,train,person,0003_20230322_083935,1,0,1,0,0,-1,0,,1,0,36.978,0,1003,vehicle,car,36.978,5
0030,train,person,0003_20230322_083935,1,0,1,0,0,-1,0,,1,0,22.718,0,1034,vehicle,car,22.718,25
0007,train,person,0003_20230322_083935,1,0,1,0,0,-1,0,,1,0,25.401,0,1027,vehicle,car,25.401,13
0364,train,person,0003_20230523_111514,8,3,5,3,3,0.792,196,person,5,0,4.656,0,010,vru,person,0.792,77
0365,train,person,0003_20230523_111514,9,2,7,2,0,15.149,0,person,7,0,3.878,0,1045,vehicle,car,3.878,8
0366,train,person,0003_20230523_111514,7,3,4,3,3,0.885,319,person,4,0,3.343,0,000,vru,person,0.885,228
0367,train,person,0003_20230523_111514,3,0,3,0,0,-1,0,,3,0,6.242,0,1038,vehicle,car,6.242,8
0368,train,person,0003_20230523_111514,13,0,13,0,0,-1,0,,13,0,3.947,0,1026,vehicle,car,3.947,10
0369,train,person,0003_20230523_111514,7,3,4,3,3,1.25,176,person,4,0,3.279,0,000,vru,person,1.25,195
0370,train,person,0003_20230523_111514,6,1,5,1,0,20.18,0,person,5,0,5.53,0,1055,vehicle,car,5.53,19
0371,train,person,0003_20230523_111514,2,1,1,1,0,42.382,0,person,1,0,16.01,0,1034,vehicle,car,16.01,10
0372,train,person,0003_20230523_111514,5,0,5,0,0,-1,0,,5,0,7.85,0,1049,vehicle,car,7.85,16
0373,train,person,0003_20230523_111514,4,2,2,2,1,1.789,5,person,2,0,16.068,0,011,vru,person,1.789,40
0374,train,person,0003_20230523_111514,7,3,4,3,3,0.792,29,person,4,0,5.086,0,000,vru,person,0.792,77
0375,train,person,0003_20230523_111514,1,1,0,1,1,1.789,5,person,0,0,-1,0,009,vru,person,1.789,40
0039,train,bicycle,0003_20230523_111514,2,0,2,0,0,-1,0,,2,0,14.042,0,1025,vehicle,car,14.042,9
0376,train,person,0003_20230523_111514,3,1,2,1,0,35.056,0,bicycle,2,0,13.121,0,1013,vehicle,car,13.121,15
0377,train,bicycle,0003_20230523_111514,4,1,3,1,0,35.056,0,person,3,0,16.867,0,1005,vehicle,car,16.867,14
0378,train,person,0003_20230523_111514,2,1,1,1,0,15.149,0,person,1,0,25.903,0,001,vru,person,15.149,24
0040,train,scooter,0003_20230523_111514,3,0,3,0,0,-1,0,,3,1,2.425,2,1004,vehicle,car,2.425,14
0031,train,person,0004_20230322_084251,9,5,4,5,1,1.115,62,"motorcycle,person",4,0,5.632,0,004,vru,person,1.115,108
0032,train,person,0004_20230322_084251,9,5,4,5,2,1.327,6,"motorcycle,person",4,0,8.276,0,004,vru,person,1.327,108
0033,train,person,0004_20230322_084251,9,5,4,5,2,2.671,125,"motorcycle,person",4,0,3.907,0,003,vru,person,2.671,112
0034,train,person,0004_20230322_084251,9,5,4,5,2,2.671,65,"motorcycle,person",4,0,6.553,0,002,vru,person,2.671,112
0035,train,person,0004_20230322_084251,9,5,4,5,4,1.115,138,"motorcycle,person",4,0,4.397,0,000,vru,person,1.115,108
0036,train,person,0004_20230322_084251,4,0,4,0,0,-1,0,,4,0,6.261,0,1006,vehicle,car,6.261,11
0037,train,person,0004_20230322_084251,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0038,train,motorcycle,0004_20230322_084251,6,5,1,5,1,2.444,2,person,1,0,13.423,0,001,vru,person,2.444,15
0039,train,person,0005_20230322_084431,3,2,1,2,2,1.194,154,person,1,0,6.787,0,001,vru,person,1.194,88
0040,train,person,0005_20230322_084431,3,2,1,2,2,1.194,130,person,1,0,6.512,0,000,vru,person,1.194,88
0041,train,person,0005_20230322_084431,3,2,1,2,2,1.639,110,person,1,0,6.576,0,001,vru,person,1.639,78
0008,train,person,0005_20230322_084431,2,0,2,0,0,-1,0,,2,0,3.671,0,1021,vehicle,car,3.671,66
0042,train,person,0005_20230322_084431,1,0,1,0,0,-1,0,,1,0,8.506,0,1012,vehicle,car,8.506,19
0043,train,person,0005_20230322_084431,2,1,1,1,0,21.639,0,person,1,0,12.594,0,1007,vehicle,car,12.594,14
0044,train,person,0005_20230322_084431,2,1,1,1,0,21.639,0,person,1,0,28.457,0,005,vru,person,21.639,22
0045,train,person,0006_20230322_113007,3,1,2,1,1,2.446,2,person,2,0,13.827,0,003,vru,person,2.446,124
0046,train,person,0006_20230322_113007,5,0,5,0,0,-1,0,,5,0,3.111,0,1004,vehicle,car,3.111,10
0047,train,person,0006_20230322_113007,3,1,2,1,0,3.262,0,person,2,0,10.222,0,005,vru,person,3.262,66
0048,train,person,0006_20230322_113007,1,1,0,1,1,2.446,2,person,0,0,-1,0,000,vru,person,2.446,124
0049,train,person,0006_20230322_113007,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0050,train,person,0006_20230322_113007,3,1,2,1,0,3.262,0,person,2,0,15.665,0,002,vru,person,3.262,66
0051,train,person,0006_20230322_113007,4,1,3,1,0,20.14,0,person,3,0,7.911,0,1011,vehicle,car,7.911,11
0052,train,person,0006_20230322_113007,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0009,train,person,0006_20230322_113007,3,0,3,0,0,-1,0,,3,0,5.573,0,1038,vehicle,car,5.573,25
0053,train,person,0006_20230322_113007,1,1,0,1,0,20.14,0,person,0,0,-1,0,006,vru,person,20.14,35
0054,train,person,0006_20230322_113007,3,0,3,0,0,-1,0,,3,0,11.773,0,1027,vehicle,car,11.773,14
0055,train,person,0006_20230322_113007,1,0,1,0,0,-1,0,,1,0,9.731,0,1043,vehicle,car,9.731,30
0056,train,motorcycle,0006_20230322_113007,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0057,train,person,0007_20230322_114343,5,0,5,0,0,-1,0,,5,0,4.198,0,1008,vehicle,car,4.198,13
0058,train,person,0007_20230322_114343,5,3,2,3,0,3.251,0,person,2,0,3.883,0,006,vru,person,3.251,57
0010,train,person,0007_20230322_114343,4,2,2,2,0,11.745,0,person,2,0,3.66,0,1036,vehicle,car,3.66,94
0059,train,person,0007_20230322_114343,3,0,3,0,0,-1,0,,3,0,7.765,0,1016,vehicle,car,7.765,11
0060,train,person,0007_20230322_114343,4,1,3,1,0,42.124,0,person,3,0,6.729,0,1022,vehicle,car,6.729,17
0061,train,person,0007_20230322_114343,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0062,train,person,0007_20230322_114343,4,2,2,2,0,3.251,0,person,2,0,4.259,0,001,vru,person,3.251,57
0063,train,motorcycle,0007_20230322_114343,1,0,1,0,0,-1,0,,1,0,17.215,0,1027,vehicle,car,17.215,9
0064,train,person,0008_20230322_114623,14,3,11,3,0,7.56,0,person,11,0,3.3,0,1054,vehicle,car,3.3,32
0011,train,person,0008_20230322_114623,11,1,10,1,1,2.609,1,person,10,0,3.377,0,008,vru,person,2.609,24
0065,train,person,0008_20230322_114623,7,1,6,1,0,35.324,0,person,6,0,3.797,0,1018,vehicle,car,3.797,20
0066,train,person,0008_20230322_114623,4,0,4,0,0,-1,0,,4,0,7.032,0,1098,vehicle,car,7.032,54
0067,train,person,0008_20230322_114623,8,3,5,3,0,4.23,0,person,5,0,8.766,0,010,vru,person,4.23,29
0068,train,person,0008_20230322_114623,3,0,3,0,0,-1,0,,3,0,6.466,0,1067,vehicle,car,6.466,17
0069,train,person,0008_20230322_114623,2,0,2,0,0,-1,0,,2,0,34.296,0,1050,vehicle,car,34.296,10
0070,train,person,0008_20230322_114623,6,3,3,3,0,23.543,0,person,3,0,7.532,0,1000,vehicle,car,7.532,12
0071,train,person,0008_20230322_114623,3,1,2,1,1,2.609,1,person,2,0,13.59,0,001,vru,person,2.609,24
0072,train,person,0008_20230322_114623,2,1,1,1,0,35.324,0,person,1,0,6.758,0,1060,vehicle,car,6.758,14
0073,train,person,0008_20230322_114623,3,3,0,3,0,4.23,0,person,0,0,-1,0,004,vru,person,4.23,29
0074,train,person,0008_20230322_114623,4,0,4,0,0,-1,0,,4,0,4.98,0,1091,vehicle,car,4.98,6
0075,train,person,0008_20230322_114623,1,0,1,0,0,-1,0,,1,0,5.243,0,1051,vehicle,car,5.243,24
0076,train,person,0009_20230322_115403,2,0,2,0,0,-1,0,,2,0,4.127,0,1013,vehicle,car,4.127,14
0077,train,person,0009_20230322_115403,5,1,4,1,1,2.437,3,bicycle,4,0,4.442,0,002,vru,bicycle,2.437,61
0078,train,bicycle,0009_20230322_115403,3,1,2,1,1,2.437,3,person,2,0,8.153,0,001,vru,person,2.437,61
0079,train,person,0009_20230322_115403,2,1,1,1,0,24.016,0,motorcycle,1,0,38.552,0,005,vru,motorcycle,24.016,9
0080,train,person,0009_20230322_115403,2,0,2,0,0,-1,0,,2,0,9.24,0,1025,vehicle,car,9.24,14
0081,train,motorcycle,0009_20230322_115403,2,1,1,1,0,24.016,0,person,1,0,34.065,0,003,vru,person,24.016,9
0082,train,person,0010_20230322_115554,1,0,1,0,0,-1,0,,1,0,10.935,0,1023,vehicle,car,10.935,3
0083,train,person,0010_20230322_115554,3,0,3,0,0,-1,0,,3,0,7.668,0,1035,vehicle,car,7.668,21
0084,train,bicycle,0010_20230322_115554,3,0,3,0,0,-1,0,,3,0,3.979,0,1047,vehicle,car,3.979,15
0012,train,person,0010_20230322_115554,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0085,train,person,0010_20230322_115554,3,1,2,1,1,0.148,35,person,2,0,15.94,0,006,vru,person,0.148,38
0086,train,person,0010_20230322_115554,2,0,2,0,0,-1,0,,2,0,7.068,0,1051,vehicle,truck,7.068,38
0087,train,person,0010_20230322_115554,3,1,2,1,1,0.148,35,person,2,0,16.902,0,004,vru,person,0.148,38
0088,train,bicycle,0010_20230322_115554,1,0,1,0,0,-1,0,,1,0,31.423,0,1007,vehicle,car,31.423,4
0089,train,person,0011_20230322_115737,7,5,2,5,1,1.737,4,person,2,0,11.607,0,001,vru,person,1.737,151
0090,train,person,0011_20230322_115737,7,5,2,5,4,1.502,36,person,2,0,16.064,0,007,vru,person,1.502,72
0091,train,person,0011_20230322_115737,6,5,1,5,3,0.252,99,person,1,0,20.125,0,007,vru,person,0.252,72
0092,train,person,0011_20230322_115737,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0093,train,person,0011_20230322_115737,5,5,0,5,3,0.905,41,person,0,0,-1,0,007,vru,person,0.905,72
0094,train,person,0011_20230322_115737,5,5,0,5,0,7.879,0,person,0,0,-1,0,000,vru,person,7.879,74
0095,train,bicycle,0011_20230322_115737,4,0,4,0,0,-1,0,,4,0,5.603,0,1020,vehicle,car,5.603,14
0096,train,person,0011_20230322_115737,5,5,0,5,3,0.252,98,person,0,0,-1,0,002,vru,person,0.252,72
0097,train,bicycle,0011_20230322_115737,4,1,3,1,1,2.656,1,bicycle,3,0,6.43,0,009,vru,bicycle,2.656,41
0098,train,bicycle,0011_20230322_115737,4,1,3,1,1,2.656,1,bicycle,3,0,4.393,0,008,vru,bicycle,2.656,41
0099,train,person,0011_20230322_115737,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0100,train,person,0012_20230322_120632,7,2,5,2,2,1.951,13,"bicycle,person",5,0,3.722,0,005,vru,person,1.951,79
0101,train,person,0012_20230322_120632,3,1,2,1,0,18.5,0,person,2,0,11.89,0,1024,vehicle,car,11.89,29
0102,train,person,0012_20230322_120632,6,1,5,1,0,15.316,0,person,5,0,9.6,0,1027,vehicle,car,9.6,59
0103,train,bicycle,0012_20230322_120632,7,2,5,2,1,2.231,2,person,5,0,4.303,0,000,vru,person,2.231,134
0104,train,person,0012_20230322_120632,3,2,1,2,0,21.231,0,"bicycle,person",1,0,15.098,0,1025,vehicle,car,15.098,40
0105,train,person,0012_20230322_120632,4,2,2,2,1,1.951,11,"bicycle,person",2,0,4.707,0,000,vru,person,1.951,79
0106,train,person,0012_20230322_120632,2,0,2,0,0,-1,0,,2,0,13.77,0,1021,vehicle,car,13.77,18
0107,train,person,0012_20230322_120632,2,1,1,1,0,18.5,0,person,1,0,20.259,0,001,vru,person,18.5,54
0108,train,bicycle,0012_20230322_120632,1,1,0,1,0,44.921,0,person,0,0,-1,0,004,vru,person,44.921,1
0109,train,person,0012_20230322_120632,2,1,1,1,0,21.231,0,person,1,0,10.383,0,1025,vehicle,car,10.383,24
0110,train,person,0012_20230322_120632,2,0,2,0,0,-1,0,,2,0,17.652,0,1028,vehicle,car,17.652,37
0111,train,person,0012_20230322_120632,2,1,1,1,0,15.316,0,person,1,0,41.473,0,002,vru,person,15.316,13
0013,train,scooter,0012_20230322_120632,1,0,1,0,0,-1,0,,1,0,9.095,0,1031,vehicle,car,9.095,21
0112,train,person,0013_20230323_082718,7,2,5,2,1,1.344,11,person,5,0,5.697,0,001,vru,person,1.344,190
0113,train,person,0013_20230323_082718,7,2,5,2,1,1.344,11,person,5,0,4.443,0,000,vru,person,1.344,190
0114,train,person,0013_20230323_082718,4,0,4,0,0,-1,0,,4,0,9.972,0,1049,vehicle,car,9.972,54
0115,train,person,0013_20230323_082718,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0116,train,person,0013_20230323_082718,2,2,0,2,0,5.895,0,person,0,0,-1,0,000,vru,person,5.895,33
0117,train,bicycle,0013_20230323_082718,0,0,0,0,0,-1,0,,0,0,-1,0,,,,-1,0
0118,train,person,0014_20230323_082848,4,2,2,2,0,13.953,0,person,2,1,2.818,1,1009,vehicle,car,2.818,17
0119,train,person,0014_20230323_082848,4,2,2,2,1,0.818,12,person,2,0,13.25,0,003,vru,person,0.818,84
0120,train,person,0014_20230323_082848,5,0,5,0,0,-1,0,,5,0,11.851,0,1040,vehicle,car,11.851,29
0121,train,person,0014_20230323_082848,2,2,0,2,1,0.818,12,person,0,0,-1,0,001,vru,person,0.818,84
0014,train,person,0014_20230323_082848,2,0,2,0,0,-1,0,,2,0,5.932,0,1002,vehicle,car,5.932,9
0122,train,person,0015_20230323_083456,5,3,2,3,2,1.434,108,person,2,0,11.979,0,002,vru,person,1.434,179
0123,train,person,0015_20230323_083456,5,3,2,3,1,1.766,126,person,2,0,11.355,0,004,vru,person,1.766,166
0124,train,person,0015_20230323_083456,5,3,2,3,2,1.434,8,person,2,0,8.097,0,000,vru,person,1.434,179
0125,train,person,0015_20230323_083456,9,1,8,1,0,39.182,0,person,8,0,3.006,0,1006,vehicle,car,3.006,11
0126,train,person,0015_20230323_083456,5,3,2,3,3,1.576,232,person,2,0,13.163,0,000,vru,person,1.576,166
0127,train,person,0015_20230323_083456,2,0,2,0,0,-1,0,,2,0,14.124,0,1026,vehicle,car,14.124,27
0128,train,person,0015_20230323_083456,1,0,1,0,0,-1,0,,1,0,31.3,0,1018,vehicle,car,31.3,8
0129,train,person,0015_20230323_083456,1,1,0,1,0,20.496,0,person,0,0,-1,0,011,vru,person,20.496,49
0015,train,person,0015_20230323_083456,2,0,2,0,0,-1,0,,2,0,12.323,0,1031,vehicle,car,12.323,9
0130,train,person,0015_20230323_083456,6,0,6,0,0,-1,0,,6,0,3.618,0,1036,vehicle,car,3.618,53
0131,train,person,0015_20230323_083456,1,0,1,0,0,-1,0,,1,0,3.285,0,1040,vehicle,car,3.285,48
0132,train,person,0015_20230323_083456,1,1,0,1,0,20.496,0,person,0,0,-1,0,007,vru,person,20.496,49
0133,train,person,0015_20230323_083456,2,1,1,1,0,5.636,0,person,1,0,24.401,0,013,vru,person,5.636,28
0134,train,person,0015_20230323_083456,3,1,2,1,0,5.636,0,person,2,0,8.922,0,012,vru,person,5.636,28
