sample_id,scene_path,timestamp,target_id,target_class_name,target_x_world,target_y_world,heading_vx,heading_vy,heading_ux,heading_uy,heading_valid,other_type,other_id,other_class_name,other_velocity,dx,dy,dz,distance,forward_proj,lateral_proj,relative_zone,relative_side,grid_row,grid_col,cell_id
0007,0001_20230322_083454,1679474137160035,3,person,0.021173,0.493501,0.0,0.0,1.0,0.0,0,vrus,0,person,0.096327,-1.872161,0.647112,-0.165209,1.980843,-1.872161,0.647112,back,left,3,0,15
0013,0001_20230322_083454,1679474158480035,9,person,0.181906,-4.287235,0.0,0.0,1.0,0.0,0,vrus,14,person,1.129996,-1.083096,-0.67924,-0.051312,1.278461,-1.083096,-0.67924,back,right,1,1,6
0017,0001_20230322_083454,1679474128200035,13,person,-1.1426,0.48653,0.0,0.0,1.0,0.0,0,vrus,8,scooter,0.187269,-1.026854,-0.920181,-0.123797,1.378826,-1.026854,-0.920181,back,right,1,1,6
0017,0001_20230322_083454,1679474128200035,13,person,-1.1426,0.48653,0.0,0.0,1.0,0.0,0,vrus,3,person,0.118794,1.063919,0.076617,-0.147125,1.066674,1.063919,0.076617,front,left,2,3,13
0017,0001_20230322_083454,1679474128200035,13,person,-1.1426,0.48653,0.0,0.0,1.0,0.0,0,vrus,0,person,0.034982,-0.615528,0.51091,-0.314277,0.79994,-0.615528,0.51091,back,left,3,1,16
0017,0001_20230322_083454,1679474128200035,13,person,-1.1426,0.48653,0.0,0.0,1.0,0.0,0,vrus,1,person,0.047184,-1.468634,2.224712,-0.242474,2.665752,-1.468634,2.224712,back,left,4,1,21
0020,0002_20230322_083625,1679474206080035,1,person,-1.869573,0.087663,0.0,0.0,1.0,0.0,0,vrus,0,person,0.078808,-0.154942,1.843835,-0.102024,1.850334,-0.154942,1.843835,back,left,4,2,22
0021,0002_20230322_083625,1679474226960035,3,person,-0.356291,1.15956,0.0,0.0,1.0,0.0,0,vrus,0,person,0.065618,-1.697969,0.872287,-0.038006,1.908922,-1.697969,0.872287,back,left,3,0,15
0022,0002_20230322_083625,1679474232920035,4,person,-6.521233,-7.899992,0.0,0.0,1.0,0.0,0,vrus,5,person,2.365471,-0.013446,0.422163,-0.004143,0.422377,-0.013446,0.422163,back,left,2,2,12
0023,0002_20230322_083625,1679474233920035,5,person,-6.350585,-6.805323,0.0,0.0,1.0,0.0,0,vrus,4,person,4.269989,0.774473,-0.242924,0.085482,0.811677,0.774473,-0.242924,front,right,2,3,13
0024,0002_20230322_083625,1679474191360035,6,person,9.759788,-9.667697,0.0,0.0,1.0,0.0,0,vrus,7,bicycle,4.579095,2.043331,-1.88532,0.058218,2.780221,2.043331,-1.88532,front,right,0,4,4
0028,0003_20230322_083935,1679474424840035,3,person,10.075792,-10.476671,0.0,0.0,1.0,0.0,0,vrus,1,person,0.273908,-0.257216,-0.297108,-0.174912,0.39298,-0.257216,-0.297108,back,right,2,2,12
0033,0004_20230322_084251,1679474594480035,2,person,-0.876967,1.055991,0.0,0.0,1.0,0.0,0,vrus,5,person,4.157682,-0.451562,1.043209,0.021292,1.136747,-0.451562,1.043209,back,left,3,2,17
0033,0004_20230322_084251,1679474594480035,2,person,-0.876967,1.055991,0.0,0.0,1.0,0.0,0,vrus,4,person,0.449742,-2.263477,1.58469,-0.054309,2.763072,-2.263477,1.58469,back,left,4,0,20
0035,0004_20230322_084251,1679474593040035,4,person,-3.156431,2.663859,0.0,0.0,1.0,0.0,0,vrus,2,person,0.231695,2.066722,-1.842475,0.100659,2.768764,2.066722,-1.842475,front,right,0,4,4
0035,0004_20230322_084251,1679474593040035,4,person,-3.156431,2.663859,0.0,0.0,1.0,0.0,0,vrus,5,person,0.163788,1.528458,-1.283053,0.154791,1.995598,1.528458,-1.283053,front,right,1,4,9
0035,0004_20230322_084251,1679474593040035,4,person,-3.156431,2.663859,0.0,0.0,1.0,0.0,0,vrus,0,person,0.142338,-1.308662,-0.4917,0.085481,1.397987,-1.308662,-0.4917,back,right,2,1,11
0036,0004_20230322_084251,1679474590840035,5,person,-1.621847,1.408489,0.0,0.0,1.0,0.0,0,vrus,2,person,0.147268,0.52151,-0.597379,-0.053434,0.792991,0.52151,-0.597379,front,right,1,3,8
0036,0004_20230322_084251,1679474590840035,5,person,-1.621847,1.408489,0.0,0.0,1.0,0.0,0,vrus,4,person,0.106722,-1.530685,1.261617,-0.154562,1.983601,-1.530685,1.261617,back,left,3,0,15
0039,0005_20230322_084431,1679474689720035,0,person,2.388136,7.325074,0.0,0.0,1.0,0.0,0,vrus,1,person,4.798929,-0.91176,-2.281107,-0.153326,2.456574,-0.91176,-2.281107,back,right,0,1,1
0039,0005_20230322_084431,1679474689720035,0,person,2.388136,7.325074,0.0,0.0,1.0,0.0,0,vrus,2,person,5.725691,1.98903,-1.394783,-0.168152,2.429334,1.98903,-1.394783,front,right,1,4,9
0039,0005_20230322_084431,1679474689720035,0,person,2.388136,7.325074,0.0,0.0,1.0,0.0,0,vrus,6,person,4.973112,0.636874,-0.281931,-0.230514,0.696487,0.636874,-0.281931,front,right,2,3,13
0040,0005_20230322_084431,1679474688880035,1,person,0.632074,4.317266,0.0,0.0,1.0,0.0,0,vrus,0,person,4.970261,0.971749,2.074921,0.164695,2.2912,0.971749,2.074921,front,left,4,3,23
0040,0005_20230322_084431,1679474688880035,1,person,0.632074,4.317266,0.0,0.0,1.0,0.0,0,vrus,6,person,4.838899,1.656808,1.850092,-0.052129,2.483516,1.656808,1.850092,front,left,4,4,24
0041,0005_20230322_084431,1679474687000035,2,person,1.697258,2.56427,0.0,0.0,1.0,0.0,0,vrus,0,person,6.087042,-2.016024,1.715933,0.160447,2.64741,-2.016024,1.715933,back,left,4,0,20
0041,0005_20230322_084431,1679474687000035,2,person,1.697258,2.56427,0.0,0.0,1.0,0.0,0,vrus,6,person,5.052809,-0.959425,1.671648,-0.081188,1.927408,-0.959425,1.671648,back,left,4,1,21
0044,0005_20230322_084431,1679474693320035,6,person,6.726579,10.35946,0.0,0.0,1.0,0.0,0,vrus,1,person,5.846574,-1.483315,-1.93354,0.06869,2.436966,-1.483315,-1.93354,back,right,0,1,1
0044,0005_20230322_084431,1679474693320035,6,person,6.726579,10.35946,0.0,0.0,1.0,0.0,0,vrus,2,person,5.54225,1.23962,-0.250706,0.034369,1.264718,1.23962,-0.250706,front,right,2,3,13
0044,0005_20230322_084431,1679474693320035,6,person,6.726579,10.35946,0.0,0.0,1.0,0.0,0,vrus,0,person,5.357362,-0.634906,0.599165,0.219685,0.872985,-0.634906,0.599165,back,left,3,1,16
0045,0006_20230322_113007,1679484644000035,0,person,10.91712,16.41692,0.0,0.0,1.0,0.0,0,vrus,4,person,0.29,1.611074,-0.67139,0.074627,1.745372,1.611074,-0.67139,front,right,1,4,9
0045,0006_20230322_113007,1679484644000035,0,person,10.91712,16.41692,0.0,0.0,1.0,0.0,0,vrus,1,person,0.101703,-0.360336,0.08771,0.045473,0.370858,-0.360336,0.08771,back,left,2,2,12
0046,0006_20230322_113007,1679484652680035,1,person,10.525095,16.509356,0.0,0.0,1.0,0.0,0,vrus,4,person,0.688881,1.534733,-1.405712,0.019659,2.08121,1.534733,-1.405712,front,right,1,4,9
0046,0006_20230322_113007,1679484652680035,1,person,10.525095,16.509356,0.0,0.0,1.0,0.0,0,vrus,0,person,0.534966,0.212126,0.046396,-0.01223,0.217141,0.212126,0.046396,front,left,2,2,12
0047,0006_20230322_113007,1679484649080035,2,person,-3.144474,3.499617,0.0,0.0,1.0,0.0,0,vrus,3,person,0.031971,0.772712,-0.876301,-0.020429,1.168327,0.772712,-0.876301,front,right,1,3,8
0048,0006_20230322_113007,1679484655440035,3,person,-2.366154,2.692929,0.0,0.0,1.0,0.0,0,vrus,2,person,0.058515,-0.774521,0.84544,0.019559,1.146583,-0.774521,0.84544,back,left,3,1,16
0049,0006_20230322_113007,1679484656920035,4,person,11.595287,14.659653,0.0,0.0,1.0,0.0,0,vrus,5,person,2.76968,1.836077,1.372174,-0.143258,2.292169,1.836077,1.372174,front,left,3,4,19
0049,0006_20230322_113007,1679484656920035,4,person,11.595287,14.659653,0.0,0.0,1.0,0.0,0,vrus,0,person,0.258377,-0.659281,1.641404,-0.047129,1.768858,-0.659281,1.641404,back,left,4,1,21
0049,0006_20230322_113007,1679484656920035,4,person,11.595287,14.659653,0.0,0.0,1.0,0.0,0,vrus,1,person,0.05938,-1.036962,1.832792,-0.032277,2.105806,-1.036962,1.832792,back,left,4,1,21
0050,0006_20230322_113007,1679484665360035,5,person,7.458205,10.083968,0.0,0.0,1.0,0.0,0,vrus,11,person,8.978524,-1.309923,-0.859769,-0.435799,1.566876,-1.309923,-0.859769,back,right,1,1,6
0050,0006_20230322_113007,1679484665360035,5,person,7.458205,10.083968,0.0,0.0,1.0,0.0,0,vrus,1,person,5.724803,-1.837058,0.088943,0.167451,1.83921,-1.837058,0.088943,back,left,2,0,10
0050,0006_20230322_113007,1679484665360035,5,person,7.458205,10.083968,0.0,0.0,1.0,0.0,0,vrus,0,person,8.846249,-1.07493,-0.126268,0.128761,1.082321,-1.07493,-0.126268,back,right,2,1,11
0050,0006_20230322_113007,1679484665360035,5,person,7.458205,10.083968,0.0,0.0,1.0,0.0,0,vrus,8,person,5.277511,-1.308986,-0.301009,0.109655,1.343149,-1.308986,-0.301009,back,right,2,1,11
0053,0006_20230322_113007,1679484614680035,9,person,10.883547,16.064913,0.0,0.0,1.0,0.0,0,vrus,0,person,0.978747,0.37256,-0.390837,-0.006002,0.539958,0.37256,-0.390837,front,right,2,2,12
0055,0006_20230322_113007,1679484669720035,11,person,-1.397958,0.226709,0.0,0.0,1.0,0.0,0,vrus,0,person,8.233392,-0.035854,-0.623811,0.58731,0.62484,-0.035854,-0.623811,back,right,1,2,7
0055,0006_20230322_113007,1679484669720035,11,person,-1.397958,0.226709,0.0,0.0,1.0,0.0,0,vrus,4,person,6.921712,0.771905,-1.06539,0.68627,1.315634,0.771905,-1.06539,front,right,1,3,8
0057,0007_20230322_114343,1679485465520035,0,person,-2.668381,2.35873,0.0,0.0,1.0,0.0,0,vrus,1,person,0.00848,1.273687,-1.580721,0.028465,2.030014,1.273687,-1.580721,front,right,0,3,3
0058,0007_20230322_114343,1679485471280035,1,person,-1.35653,0.753223,0.0,0.0,1.0,0.0,0,vrus,3,person,0.278185,0.665551,-1.108676,0.094802,1.293105,0.665551,-1.108676,front,right,1,3,8
0058,0007_20230322_114343,1679485471280035,1,person,-1.35653,0.753223,0.0,0.0,1.0,0.0,0,vrus,0,person,0.115921,-1.063817,1.691236,-0.034777,1.997996,-1.063817,1.691236,back,left,4,1,21
0059,0007_20230322_114343,1679485475480035,3,person,-0.166875,-0.117395,0.0,0.0,1.0,0.0,0,vrus,1,person,0.050824,-1.10248,1.270776,-0.115244,1.682359,-1.10248,1.270776,back,left,3,1,16
0061,0007_20230322_114343,1679485485680035,5,person,11.306301,14.999294,0.0,0.0,1.0,0.0,0,vrus,6,person,1.986295,0.029355,0.557525,-0.052973,0.558298,0.029355,0.557525,front,left,3,2,17
0062,0007_20230322_114343,1679485485680035,6,person,11.335656,15.55682,0.0,0.0,1.0,0.0,0,vrus,5,person,2.986356,-0.029355,-0.557525,0.052973,0.558298,-0.029355,-0.557525,back,right,1,2,7
0064,0008_20230322_114623,1679485650080035,0,person,-2.61245,3.293048,0.0,0.0,1.0,0.0,0,vrus,1,person,0.052587,1.049186,-0.697084,-0.09368,1.259649,1.049186,-0.697084,front,right,1,3,8
0065,0008_20230322_114623,1679485646320035,2,person,11.337132,16.264576,0.0,0.0,1.0,0.0,0,vrus,3,person,0.387259,0.287055,-1.41145,-0.035824,1.440345,0.287055,-1.41145,front,right,1,2,7
0066,0008_20230322_114623,1679485665600035,3,person,11.720903,14.844183,0.0,0.0,1.0,0.0,0,vrus,2,person,0.191064,-0.415952,1.343658,0.072143,1.406567,-0.415952,1.343658,back,left,3,2,17
0068,0008_20230322_114623,1679485687000035,5,person,15.145223,13.891231,0.0,0.0,1.0,0.0,0,vrus,0,person,0.10584,1.758271,1.700853,-0.036873,2.446307,1.758271,1.700853,front,left,4,4,24
0068,0008_20230322_114623,1679485687000035,5,person,15.145223,13.891231,0.0,0.0,1.0,0.0,0,vrus,1,person,0.069592,2.110578,1.629824,-0.084591,2.666621,2.110578,1.629824,front,left,4,4,24
0072,0008_20230322_114623,1679485697280035,9,person,22.550783,11.1251,0.0,0.0,1.0,0.0,0,vrus,0,person,4.562789,0.814712,0.393314,-0.071915,0.904684,0.814712,0.393314,front,left,2,3,13
0072,0008_20230322_114623,1679485697280035,9,person,22.550783,11.1251,0.0,0.0,1.0,0.0,0,vrus,1,person,4.653283,1.061949,0.533038,-0.157643,1.18822,1.061949,0.533038,front,left,3,3,18
0075,0008_20230322_114623,1679485673920035,12,person,6.869677,10.591919,0.0,0.0,1.0,0.0,0,vrus,2,person,5.425393,-1.595158,-2.390945,-0.109154,2.874221,-1.595158,-2.390945,back,right,0,0,0
0075,0008_20230322_114623,1679485673920035,12,person,6.869677,10.591919,0.0,0.0,1.0,0.0,0,vrus,0,person,4.834909,-0.582468,1.052366,-0.010053,1.202806,-0.582468,1.052366,back,left,3,1,16
0075,0008_20230322_114623,1679485673920035,12,person,6.869677,10.591919,0.0,0.0,1.0,0.0,0,vrus,1,person,4.554803,0.568767,0.606829,-0.134432,0.831708,0.568767,0.606829,front,left,3,3,18
0085,0010_20230322_115554,1679486214680035,4,person,-2.505423,0.146873,0.0,0.0,1.0,0.0,0,vrus,5,person,4.708509,0.627449,-0.733049,0.086646,0.964911,0.627449,-0.733049,front,right,1,3,8
0085,0010_20230322_115554,1679486214680035,4,person,-2.505423,0.146873,0.0,0.0,1.0,0.0,0,vrus,6,person,4.684169,0.765493,0.027991,0.006697,0.766005,0.765493,0.027991,front,left,2,3,13
0086,0010_20230322_115554,1679486216120035,5,person,-1.982138,-2.352741,0.0,0.0,1.0,0.0,0,vrus,4,person,5.26211,-0.628281,0.468942,-0.237483,0.783992,-0.628281,0.468942,back,left,2,1,11
0086,0010_20230322_115554,1679486216120035,5,person,-1.982138,-2.352741,0.0,0.0,1.0,0.0,0,vrus,6,person,4.234927,0.711006,1.059706,0.072807,1.27613,0.711006,1.059706,front,left,3,3,18
0087,0010_20230322_115554,1679486216280035,6,person,-1.330204,-1.475029,0.0,0.0,1.0,0.0,0,vrus,5,person,4.718425,-0.738246,-1.068834,-0.085763,1.299005,-0.738246,-1.068834,back,right,1,1,6
0087,0010_20230322_115554,1679486216280035,6,person,-1.330204,-1.475029,0.0,0.0,1.0,0.0,0,vrus,4,person,5.159753,-1.380897,-0.617044,-0.318649,1.512488,-1.380897,-0.617044,back,right,1,1,6
0091,0011_20230322_115737,1679486277800035,2,person,-3.684397,-3.60183,0.0,0.0,1.0,0.0,0,vrus,7,person,3.033755,0.527885,-0.369358,0.096196,0.644273,0.527885,-0.369358,front,right,2,3,13
0094,0011_20230322_115737,1679486272680035,5,person,25.193313,10.364862,0.0,0.0,1.0,0.0,0,vrus,10,person,5.32864,-0.391267,-0.438893,0.083704,0.587977,-0.391267,-0.438893,back,right,2,2,12
0096,0011_20230322_115737,1679486273760035,7,person,-1.658623,-0.603752,0.0,0.0,1.0,0.0,0,vrus,2,person,2.653832,-0.249082,0.13184,-0.059228,0.281822,-0.249082,0.13184,back,left,2,2,12
0099,0011_20230322_115737,1679486268560035,10,person,19.803794,13.910235,0.0,0.0,1.0,0.0,0,vrus,5,person,5.869609,0.475572,0.253938,-0.068438,0.539123,0.475572,0.253938,front,left,2,2,12
0101,0012_20230322_120632,1679486825680035,1,person,12.060285,15.264663,0.0,0.0,1.0,0.0,0,vrus,3,bicycle,0.030947,-1.163492,1.202049,-0.00084,1.672912,-1.163492,1.202049,back,left,3,1,16
0101,0012_20230322_120632,1679486825680035,1,person,12.060285,15.264663,0.0,0.0,1.0,0.0,0,vrus,2,person,0.081327,1.519205,0.54522,0.0566,1.614079,1.519205,0.54522,front,left,3,4,19
0102,0012_20230322_120632,1679486829440035,2,person,13.397944,15.89855,0.0,0.0,1.0,0.0,0,vrus,1,person,0.173395,-1.346883,-0.587021,-0.038339,1.469247,-1.346883,-0.587021,back,right,1,1,6
0102,0012_20230322_120632,1679486829440035,2,person,13.397944,15.89855,0.0,0.0,1.0,0.0,0,vrus,4,person,2.048001,1.035831,-0.564536,-0.049371,1.179681,1.035831,-0.564536,front,right,1,3,8
0102,0012_20230322_120632,1679486829440035,2,person,13.397944,15.89855,0.0,0.0,1.0,0.0,0,vrus,3,bicycle,0.03031,-2.469039,0.557617,-0.038507,2.531223,-2.469039,0.557617,back,left,3,0,15
0104,0012_20230322_120632,1679486836960035,4,person,9.331831,10.022587,0.0,0.0,1.0,0.0,0,vrus,1,person,4.706966,-2.026088,-0.596024,0.02211,2.111936,-2.026088,-0.596024,back,right,1,0,5
0104,0012_20230322_120632,1679486836960035,4,person,9.331831,10.022587,0.0,0.0,1.0,0.0,0,vrus,2,person,5.014625,-1.479555,1.51484,0.070811,2.117504,-1.479555,1.51484,back,left,4,1,21
0105,0012_20230322_120632,1679486808240035,5,person,7.274346,-8.424963,0.0,0.0,1.0,0.0,0,vrus,8,bicycle,4.513802,-0.61235,-0.391909,0.011336,0.727024,-0.61235,-0.391909,back,right,2,1,11
0106,0012_20230322_120632,1679486845520035,6,person,15.715002,18.187448,0.0,0.0,1.0,0.0,0,vrus,9,person,4.320979,0.515487,-0.485313,-0.084646,0.707994,0.515487,-0.485313,front,right,2,3,13
0107,0012_20230322_120632,1679486805040035,7,person,30.77074,7.957554,0.0,0.0,1.0,0.0,0,vrus,11,person,5.999602,-0.188085,0.109884,0.171907,0.217831,-0.188085,0.109884,back,left,2,2,12
0109,0012_20230322_120632,1679486849560035,9,person,14.365671,15.646534,0.0,0.0,1.0,0.0,0,vrus,0,person,0.277784,-1.765845,0.325677,0.090336,1.795627,-1.765845,0.325677,back,left,2,0,10
0109,0012_20230322_120632,1679486849560035,9,person,14.365671,15.646534,0.0,0.0,1.0,0.0,0,vrus,6,person,1.304033,-0.359467,0.093168,0.025564,0.371345,-0.359467,0.093168,back,left,2,2,12
0111,0012_20230322_120632,1679486799520035,11,person,30.811073,15.224415,0.0,0.0,1.0,0.0,0,vrus,7,person,5.637424,0.202121,0.541544,-0.137557,0.578034,0.202121,0.541544,front,left,3,2,17
0122,0015_20230323_083456,1679560532920026,0,person,-0.59488,-1.092229,0.0,0.0,1.0,0.0,0,vrus,3,person,0.507408,-0.017204,-2.129794,0.04541,2.129863,-0.017204,-2.129794,back,right,0,2,2
0122,0015_20230323_083456,1679560532920026,0,person,-0.59488,-1.092229,0.0,0.0,1.0,0.0,0,vrus,6,person,0.879084,0.770077,-2.3275,0.142993,2.451586,0.770077,-2.3275,front,right,0,3,3
0122,0015_20230323_083456,1679560532920026,0,person,-0.59488,-1.092229,0.0,0.0,1.0,0.0,0,vrus,8,person,0.155461,-1.683295,-0.116728,-0.119772,1.687338,-1.683295,-0.116728,back,right,2,0,10
0122,0015_20230323_083456,1679560532920026,0,person,-0.59488,-1.092229,0.0,0.0,1.0,0.0,0,vrus,4,person,1.101148,-0.819928,1.637116,-0.086465,1.830964,-0.819928,1.637116,back,left,4,1,21
0123,0015_20230323_083456,1679560532920026,1,person,-3.58558,1.384417,0.0,0.0,1.0,0.0,0,vrus,4,person,1.101148,2.170772,-0.83953,-0.006961,2.327458,2.170772,-0.83953,front,right,1,4,9
0125,0015_20230323_083456,1679560533119996,3,person,-0.635858,-3.221678,0.0,0.0,1.0,0.0,0,vrus,6,person,0.916219,0.761796,-0.196184,0.102213,0.786652,0.761796,-0.196184,front,right,2,3,13
0125,0015_20230323_083456,1679560533119996,3,person,-0.635858,-3.221678,0.0,0.0,1.0,0.0,0,vrus,8,person,0.144364,-1.63977,2.004867,-0.152499,2.590046,-1.63977,2.004867,back,left,4,0,20
0125,0015_20230323_083456,1679560533119996,3,person,-0.635858,-3.221678,0.0,0.0,1.0,0.0,0,vrus,0,person,0.108184,0.03654,2.12453,-0.04162,2.124845,0.03654,2.12453,front,left,4,2,22
0126,0015_20230323_083456,1679560530320011,4,person,-1.535913,0.313777,0.0,0.0,1.0,0.0,0,vrus,8,person,1.103187,-0.704115,-1.567245,-0.051757,1.718149,-0.704115,-1.567245,back,right,0,1,1
0126,0015_20230323_083456,1679560530320011,4,person,-1.535913,0.313777,0.0,0.0,1.0,0.0,0,vrus,0,person,0.101094,0.906125,-1.40347,0.098476,1.670565,0.906125,-1.40347,front,right,1,3,8
0126,0015_20230323_083456,1679560530320011,4,person,-1.535913,0.313777,0.0,0.0,1.0,0.0,0,vrus,1,person,0.038447,-2.030749,1.091282,0.020715,2.305393,-2.030749,1.091282,back,left,3,0,15
0127,0015_20230323_083456,1679560544840008,5,person,-2.464315,-2.723883,0.0,0.0,1.0,0.0,0,vrus,3,person,0.7123,1.513453,-0.622319,0.125564,1.636405,1.513453,-0.622319,front,right,1,4,9
0127,0015_20230323_083456,1679560544840008,5,person,-2.464315,-2.723883,0.0,0.0,1.0,0.0,0,vrus,6,person,0.513707,2.300663,-0.691149,0.219267,2.402236,2.300663,-0.691149,front,right,1,4,9
0127,0015_20230323_083456,1679560544840008,5,person,-2.464315,-2.723883,0.0,0.0,1.0,0.0,0,vrus,8,person,0.326475,0.129365,1.428957,-0.030042,1.4348,0.129365,1.428957,front,left,3,2,17
0127,0015_20230323_083456,1679560544840008,5,person,-2.464315,-2.723883,0.0,0.0,1.0,0.0,0,vrus,0,person,0.039075,2.018821,1.788554,0.095909,2.69714,2.018821,1.788554,front,left,4,4,24
0127,0015_20230323_083456,1679560544840008,5,person,-2.464315,-2.723883,0.0,0.0,1.0,0.0,0,vrus,10,person,0.014854,2.108464,1.86706,0.161817,2.816298,2.108464,1.86706,front,left,4,4,24
0128,0015_20230323_083456,1679560550600014,6,person,-0.067086,-3.39412,0.0,0.0,1.0,0.0,0,vrus,3,person,0.446721,-0.793774,0.171347,-0.084403,0.812057,-0.793774,0.171347,back,left,2,1,11
0128,0015_20230323_083456,1679560550600014,6,person,-0.067086,-3.39412,0.0,0.0,1.0,0.0,0,vrus,12,person,4.808755,-2.23659,1.839033,-0.171619,2.895579,-2.23659,1.839033,back,left,4,0,20
0130,0015_20230323_083456,1679560518760020,9,person,-2.420007,-0.338343,0.0,0.0,1.0,0.0,0,vrus,0,person,0.352836,2.00205,-0.771311,0.105748,2.14549,2.00205,-0.771311,front,right,1,4,9
0130,0015_20230323_083456,1679560518760020,9,person,-2.420007,-0.338343,0.0,0.0,1.0,0.0,0,vrus,4,person,0.266186,0.891565,0.732971,-0.078741,1.154182,0.891565,0.732971,front,left,3,3,18
0130,0015_20230323_083456,1679560518760020,9,person,-2.420007,-0.338343,0.0,0.0,1.0,0.0,0,vrus,1,person,0.0569,-0.890802,1.730417,-0.0584,1.946246,-0.890802,1.730417,back,left,4,1,21
0130,0015_20230323_083456,1679560518760020,9,person,-2.420007,-0.338343,0.0,0.0,1.0,0.0,0,vrus,11,person,0.072775,-1.381032,1.811809,-0.004371,2.278136,-1.381032,1.811809,back,left,4,1,21
0131,0015_20230323_083456,1679560556199984,10,person,7.995468,11.727356,0.0,0.0,1.0,0.0,0,vrus,0,person,5.285937,-2.089323,-2.477197,0.15842,3.240644,-2.089323,-2.477197,back,right,0,0,0
0131,0015_20230323_083456,1679560556199984,10,person,7.995468,11.727356,0.0,0.0,1.0,0.0,0,vrus,4,person,5.698287,0.228636,1.583185,0.068498,1.599609,0.228636,1.583185,front,left,4,2,22
0132,0015_20230323_083456,1679560508640023,11,person,-3.804451,1.417545,0.0,0.0,1.0,0.0,0,vrus,4,person,0.069138,2.29037,-1.01808,-0.034342,2.506448,2.29037,-1.01808,front,right,1,4,9
0132,0015_20230323_083456,1679560508640023,11,person,-3.804451,1.417545,0.0,0.0,1.0,0.0,0,vrus,1,person,0.203442,0.443187,-0.06694,-0.033134,0.448214,0.443187,-0.06694,front,right,2,2,12
0134,0015_20230323_083456,1679560558359990,13,person,8.103986,11.563526,0.0,0.0,1.0,0.0,0,vrus,0,person,5.570792,-0.013989,0.042487,-0.10383,0.044731,-0.013989,0.042487,back,left,2,2,12
0134,0015_20230323_083456,1679560558359990,13,person,8.103986,11.563526,0.0,0.0,1.0,0.0,0,vrus,5,person,6.465748,-0.963227,1.832671,-0.161236,2.070384,-0.963227,1.832671,back,left,4,1,21
0134,0015_20230323_083456,1679560558359990,13,person,8.103986,11.563526,0.0,0.0,1.0,0.0,0,vrus,10,person,5.268242,2.379999,2.16641,-0.275573,3.218343,2.379999,2.16641,front,left,4,4,24
0136,0016_20230323_083733,1679560700640023,0,person,-1.077992,-0.040396,0.0,0.0,1.0,0.0,0,vrus,4,person,0.042397,0.197981,-1.526988,0.006304,1.539769,0.197981,-1.526988,front,right,0,2,2
0136,0016_20230323_083733,1679560700640023,0,person,-1.077992,-0.040396,0.0,0.0,1.0,0.0,0,vrus,8,person,0.196129,-1.072596,0.011017,-0.046785,1.072653,-1.072596,0.011017,back,left,2,1,11
0136,0016_20230323_083733,1679560700640023,0,person,-1.077992,-0.040396,0.0,0.0,1.0,0.0,0,vrus,2,person,0.424034,-1.396577,1.290383,-0.028728,1.901451,-1.396577,1.290383,back,left,3,1,16
