sample_id,f1_state,f2_state,f3_state,n_ped_red,n_ped_green,n_ped_off,n_ped_yellow,n_ped_redyellow,n_ped_yellow_blinking,status
0076,1,1,1,3,0,0,0,0,0,ok
0077,2,1,1,2,1,0,0,0,0,ok
0079,2,1,2,1,2,0,0,0,0,ok
0080,2,1,2,1,2,0,0,0,0,ok
0082,1,1,1,3,0,0,0,0,0,ok
0083,2,1,2,1,2,0,0,0,0,ok
0085,1,1,1,3,0,0,0,0,0,ok
0086,1,1,1,3,0,0,0,0,0,ok
0087,1,1,1,3,0,0,0,0,0,ok
0089,1,1,1,3,0,0,0,0,0,ok
0090,1,1,1,3,0,0,0,0,0,ok
0091,2,1,1,2,1,0,0,0,0,ok
0092,1,1,1,3,0,0,0,0,0,ok
0093,2,1,1,2,1,0,0,0,0,ok
0094,2,1,1,2,1,0,0,0,0,ok
0096,2,1,1,2,1,0,0,0,0,ok
0099,2,1,1,2,1,0,0,0,0,ok
0100,1,1,1,3,0,0,0,0,0,ok
0101,1,1,1,3,0,0,0,0,0,ok
0102,1,2,1,2,1,0,0,0,0,ok
0104,1,2,1,2,1,0,0,0,0,ok
0105,2,1,1,2,1,0,0,0,0,ok
0106,1,1,1,3,0,0,0,0,0,ok
0107,2,1,2,1,2,0,0,0,0,ok
0109,1,1,1,3,0,0,0,0,0,ok
0110,1,1,1,3,0,0,0,0,0,ok
0111,2,1,2,1,2,0,0,0,0,ok
0112,2,1,1,2,1,0,0,0,0,ok
0113,2,1,1,2,1,0,0,0,0,ok
0114,2,1,1,2,1,0,0,0,0,ok
0115,2,1,2,1,2,0,0,0,0,ok
0116,2,1,2,1,2,0,0,0,0,ok
0118,2,1,1,2,1,0,0,0,0,ok
0119,2,1,1,2,1,0,0,0,0,ok
0120,2,1,1,2,1,0,0,0,0,ok
0121,1,2,1,2,1,0,0,0,0,ok
0122,2,1,1,2,1,0,0,0,0,ok
0123,2,1,1,2,1,0,0,0,0,ok
0124,2,1,1,2,1,0,0,0,0,ok
0125,2,1,1,2,1,0,0,0,0,ok
0126,2,1,1,2,1,0,0,0,0,ok
0127,1,2,1,2,1,0,0,0,0,ok
0128,1,2,1,2,1,0,0,0,0,ok
0129,2,1,2,1,2,0,0,0,0,ok
0130,2,1,1,2,1,0,0,0,0,ok
0131,1,2,1,2,1,0,0,0,0,ok
0132,2,1,2,1,2,0,0,0,0,ok
0133,1,2,1,2,1,0,0,0,0,ok
0134,1,1,1,3,0,0,0,0,0,ok
0135,1,1,1,3,0,0,0,0,0,ok
0136,2,1,1,2,1,0,0,0,0,ok
0137,2,1,1,2,1,0,0,0,0,ok
0138,2,1,1,2,1,0,0,0,0,ok
0139,1,1,1,3,0,0,0,0,0,ok
0140,2,1,1,2,1,0,0,0,0,ok
0141,1,2,1,2,1,0,0,0,0,ok
0142,1,2,1,2,1,0,0,0,0,ok
0143,2,1,1,2,1,0,0,0,0,ok
0144,1,1,2,2,1,0,0,0,0,ok
0145,1,1,1,3,0,0,0,0,0,ok
0146,2,1,2,1,2,0,0,0,0,ok
0147,2,1,1,2,1,0,0,0,0,ok
0148,2,1,2,1,2,0,0,0,0,ok
0149,2,1,2,1,2,0,0,0,0,ok
0150,1,2,1,2,1,0,0,0,0,ok
0151,1,2,1,2,1,0,0,0,0,ok
0152,1,1,2,2,1,0,0,0,0,ok
0153,1,1,2,2,1,0,0,0,0,ok
0154,1,1,2,2,1,0,0,0,0,ok
0155,1,1,1,3,0,0,0,0,0,ok
0156,1,2,1,2,1,0,0,0,0,ok
3499,2,1,1,2,1,0,0,0,0,ok
3500,2,1,1,2,1,0,0,0,0,ok
3501,1,1,1,3,0,0,0,0,0,ok
3502,2,1,1,2,1,0,0,0,0,ok
3503,1,2,1,2,1,0,0,0,0,ok
3504,1,1,2,2,1,0,0,0,0,ok
3505,2,1,1,2,1,0,0,0,0,ok
3506,1,1,2,2,1,0,0,0,0,ok
3507,1,1,1,3,0,0,0,0,0,ok
3508,2,1,2,1,2,0,0,0,0,ok
3509,2,1,1,2,1,0,0,0,0,ok
3510,2,1,2,1,2,0,0,0,0,ok
3511,2,1,2,1,2,0,0,0,0,ok
3512,1,1,1,3,0,0,0,0,0,ok
3513,1,2,1,2,1,0,0,0,0,ok
3514,1,2,1,2,1,0,0,0,0,ok
3515,1,1,2,2,1,0,0,0,0,ok
3516,1,1,2,2,1,0,0,0,0,ok
3517,1,1,2,2,1,0,0,0,0,ok
0158,2,1,1,2,1,0,0,0,0,ok
0160,1,2,1,2,1,0,0,0,0,ok
0161,1,1,2,2,1,0,0,0,0,ok
0162,1,1,2,2,1,0,0,0,0,ok
0163,2,1,2,1,2,0,0,0,0,ok
0164,2,1,2,1,2,0,0,0,0,ok
0165,1,1,1,3,0,0,0,0,0,ok
0166,2,1,2,1,2,0,0,0,0,ok
0167,2,1,2,1,2,0,0,0,0,ok
0168,2,1,2,1,2,0,0,0,0,ok
0169,1,2,1,2,1,0,0,0,0,ok
0170,2,1,2,1,2,0,0,0,0,ok
0173,2,1,1,2,1,0,0,0,0,ok
0174,1,2,1,2,1,0,0,0,0,ok
0175,1,2,1,2,1,0,0,0,0,ok
0176,1,2,1,2,1,0,0,0,0,ok
0177,2,1,1,2,1,0,0,0,0,ok
0178,2,1,1,2,1,0,0,0,0,ok
0179,1,2,1,2,1,0,0,0,0,ok
0180,1,1,1,3,0,0,0,0,0,ok
0185,1,1,2,2,1,0,0,0,0,ok
0186,1,1,2,2,1,0,0,0,0,ok
0187,1,2,1,2,1,0,0,0,0,ok
0188,2,1,2,1,2,0,0,0,0,ok
0189,1,2,1,2,1,0,0,0,0,ok
0190,2,1,1,2,1,0,0,0,0,ok
0191,1,2,1,2,1,0,0,0,0,ok
0192,1,1,1,3,0,0,0,0,0,ok
0193,2,1,1,2,1,0,0,0,0,ok
0194,2,1,1,2,1,0,0,0,0,ok
0195,1,2,1,2,1,0,0,0,0,ok
0197,1,1,1,3,0,0,0,0,0,ok
0198,2,1,2,1,2,0,0,0,0,ok
0199,1,2,1,2,1,0,0,0,0,ok
0200,1,2,1,2,1,0,0,0,0,ok
0201,1,2,1,2,1,0,0,0,0,ok
0202,1,1,1,3,0,0,0,0,0,ok
0203,2,1,2,1,2,0,0,0,0,ok
0204,2,1,2,1,2,0,0,0,0,ok
0205,2,1,2,1,2,0,0,0,0,ok
0206,2,1,2,1,2,0,0,0,0,ok
0207,1,2,1,2,1,0,0,0,0,ok
0209,1,1,1,3,0,0,0,0,0,ok
0210,1,1,1,3,0,0,0,0,0,ok
0211,1,2,1,2,1,0,0,0,0,ok
0212,2,1,1,2,1,0,0,0,0,ok
0213,1,1,2,2,1,0,0,0,0,ok
0214,2,1,2,1,2,0,0,0,0,ok
0215,1,2,1,2,1,0,0,0,0,ok
0216,1,2,1,2,1,0,0,0,0,ok
0217,1,2,1,2,1,0,0,0,0,ok
0218,1,1,1,3,0,0,0,0,0,ok
0219,2,1,1,2,1,0,0,0,0,ok
0220,2,1,1,2,1,0,0,0,0,ok
0221,1,2,1,2,1,0,0,0,0,ok
0222,2,1,1,2,1,0,0,0,0,ok
0223,2,1,2,1,2,0,0,0,0,ok
0224,1,2,1,2,1,0,0,0,0,ok
0225,2,1,2,1,2,0,0,0,0,ok
0226,1,2,1,2,1,0,0,0,0,ok
0227,1,2,1,2,1,0,0,0,0,ok
0228,2,1,1,2,1,0,0,0,0,ok
0229,1,2,1,2,1,0,0,0,0,ok
0231,1,2,1,2,1,0,0,0,0,ok
0232,1,1,2,2,1,0,0,0,0,ok
0233,1,2,1,2,1,0,0,0,0,ok
0234,1,2,1,2,1,0,0,0,0,ok
0235,1,2,1,2,1,0,0,0,0,ok
0236,1,1,1,3,0,0,0,0,0,ok
0237,2,1,1,2,1,0,0,0,0,ok
0238,1,1,2,2,1,0,0,0,0,ok
0239,1,1,1,3,0,0,0,0,0,ok
0240,1,1,1,3,0,0,0,0,0,ok
0241,1,1,2,2,1,0,0,0,0,ok
0242,2,1,1,2,1,0,0,0,0,ok
0246,1,1,1,3,0,0,0,0,0,ok
0247,2,1,2,1,2,0,0,0,0,ok
0248,1,1,1,3,0,0,0,0,0,ok
0249,2,1,2,1,2,0,0,0,0,ok
0251,1,1,2,2,1,0,0,0,0,ok
0252,2,1,2,1,2,0,0,0,0,ok
0253,2,1,2,1,2,0,0,0,0,ok
0254,2,1,2,1,2,0,0,0,0,ok
0257,2,1,1,2,1,0,0,0,0,ok
0258,1,1,1,3,0,0,0,0,0,ok
0260,1,1,1,3,0,0,0,0,0,ok
0261,2,1,2,1,2,0,0,0,0,ok
0263,2,1,2,1,2,0,0,0,0,ok
0264,1,1,2,2,1,0,0,0,0,ok
0265,1,2,1,2,1,0,0,0,0,ok
0266,2,1,2,1,2,0,0,0,0,ok
0268,2,1,2,1,2,0,0,0,0,ok
0269,1,1,1,3,0,0,0,0,0,ok
0270,1,1,1,3,0,0,0,0,0,ok
0271,1,1,2,2,1,0,0,0,0,ok
0272,1,1,1,3,0,0,0,0,0,ok
0273,1,1,2,2,1,0,0,0,0,ok
0274,2,1,2,1,2,0,0,0,0,ok
0275,2,1,2,1,2,0,0,0,0,ok
0277,1,1,2,2,1,0,0,0,0,ok
0278,1,1,1,3,0,0,0,0,0,ok
0279,1,2,1,2,1,0,0,0,0,ok
0280,1,2,1,2,1,0,0,0,0,ok
0282,2,1,2,1,2,0,0,0,0,ok
0286,2,1,1,2,1,0,0,0,0,ok
0287,2,1,2,1,2,0,0,0,0,ok
0288,2,1,1,2,1,0,0,0,0,ok
0290,2,1,2,1,2,0,0,0,0,ok
0291,1,2,1,2,1,0,0,0,0,ok
0292,1,1,1,3,0,0,0,0,0,ok
0293,1,1,1,3,0,0,0,0,0,ok
0295,1,1,1,3,0,0,0,0,0,ok
0296,1,1,1,3,0,0,0,0,0,ok
0297,1,1,1,3,0,0,0,0,0,ok
0298,1,1,1,3,0,0,0,0,0,ok
0300,2,1,2,1,2,0,0,0,0,ok
0301,1,1,1,3,0,0,0,0,0,ok
0303,2,1,2,1,2,0,0,0,0,ok
0306,1,2,1,2,1,0,0,0,0,ok
0308,1,1,1,3,0,0,0,0,0,ok
0309,1,1,2,2,1,0,0,0,0,ok
0312,1,1,1,3,0,0,0,0,0,ok
0313,1,1,1,3,0,0,0,0,0,ok
0314,1,1,2,2,1,0,0,0,0,ok
0315,1,1,2,2,1,0,0,0,0,ok
0316,1,1,1,3,0,0,0,0,0,ok
0317,1,2,1,2,1,0,0,0,0,ok
0319,1,1,1,3,0,0,0,0,0,ok
0320,2,1,2,1,2,0,0,0,0,ok
0323,2,1,2,1,2,0,0,0,0,ok
0324,2,1,2,1,2,0,0,0,0,ok
0325,2,1,2,1,2,0,0,0,0,ok
0327,1,1,2,2,1,0,0,0,0,ok
0328,1,1,1,3,0,0,0,0,0,ok
0329,1,1,2,2,1,0,0,0,0,ok
0330,1,2,1,2,1,0,0,0,0,ok
0331,1,1,1,3,0,0,0,0,0,ok
0332,1,2,1,2,1,0,0,0,0,ok
0333,1,2,1,2,1,0,0,0,0,ok
0334,2,1,2,1,2,0,0,0,0,ok
0335,1,2,1,2,1,0,0,0,0,ok
0337,1,2,1,2,1,0,0,0,0,ok
0338,2,1,2,1,2,0,0,0,0,ok
0341,1,2,1,2,1,0,0,0,0,ok
0342,1,2,1,2,1,0,0,0,0,ok
0343,1,1,1,3,0,0,0,0,0,ok
0344,2,1,1,2,1,0,0,0,0,ok
0346,1,1,1,3,0,0,0,0,0,ok
0347,1,2,1,2,1,0,0,0,0,ok
0348,2,1,2,1,2,0,0,0,0,ok
0349,2,1,2,1,2,0,0,0,0,ok
0350,2,1,2,1,2,0,0,0,0,ok
0351,2,1,1,2,1,0,0,0,0,ok
0352,2,1,2,1,2,0,0,0,0,ok
0353,2,1,2,1,2,0,0,0,0,ok
0354,2,1,2,1,2,0,0,0,0,ok
0355,1,1,2,2,1,0,0,0,0,ok
0356,1,1,1,3,0,0,0,0,0,ok
0357,1,1,1,3,0,0,0,0,0,ok
0364,1,2,1,2,1,0,0,0,0,ok
0365,1,1,1,3,0,0,0,0,0,ok
0366,1,1,1,3,0,0,0,0,0,ok
0367,2,1,2,1,2,0,0,0,0,ok
0368,2,1,2,1,2,0,0,0,0,ok
0369,1,1,1,3,0,0,0,0,0,ok
0370,2,1,2,1,2,0,0,0,0,ok
0371,1,2,1,2,1,0,0,0,0,ok
0372,2,1,2,1,2,0,0,0,0,ok
0373,2,1,2,1,2,0,0,0,0,ok
0374,1,1,2,2,1,0,0,0,0,ok
0375,2,1,2,1,2,0,0,0,0,ok
0376,2,1,2,1,2,0,0,0,0,ok
0377,1,1,2,2,1,0,0,0,0,ok
0381,1,1,2,2,1,0,0,0,0,ok
0382,1,1,2,2,1,0,0,0,0,ok
0383,1,1,2,2,1,0,0,0,0,ok
0384,2,1,2,1,2,0,0,0,0,ok
0385,2,1,2,1,2,0,0,0,0,ok
0386,1,2,1,2,1,0,0,0,0,ok
0387,1,2,1,2,1,0,0,0,0,ok
0388,2,1,2,1,2,0,0,0,0,ok
0389,1,1,1,3,0,0,0,0,0,ok
0390,1,2,1,2,1,0,0,0,0,ok
0391,1,1,2,2,1,0,0,0,0,ok
0392,2,1,2,1,2,0,0,0,0,ok
0393,1,2,1,2,1,0,0,0,0,ok
0395,2,1,1,2,1,0,0,0,0,ok
0396,1,2,1,2,1,0,0,0,0,ok
0397,1,1,1,3,0,0,0,0,0,ok
0400,1,2,1,2,1,0,0,0,0,ok
0401,1,2,1,2,1,0,0,0,0,ok
0402,1,1,1,3,0,0,0,0,0,ok
0403,1,1,1,3,0,0,0,0,0,ok
0404,1,1,1,3,0,0,0,0,0,ok
0405,1,1,1,3,0,0,0,0,0,ok
0406,2,1,2,1,2,0,0,0,0,ok
0407,2,1,2,1,2,0,0,0,0,ok
0408,1,1,1,3,0,0,0,0,0,ok
0409,2,1,2,1,2,0,0,0,0,ok
0410,2,1,2,1,2,0,0,0,0,ok
0411,2,1,2,1,2,0,0,0,0,ok
0412,2,1,2,1,2,0,0,0,0,ok
0413,1,2,1,2,1,0,0,0,0,ok
0414,2,1,2,1,2,0,0,0,0,ok
0417,2,1,2,1,2,0,0,0,0,ok
0419,1,1,1,3,0,0,0,0,0,ok
0427,1,2,1,2,1,0,0,0,0,ok
0429,1,2,1,2,1,0,0,0,0,ok
0430,1,1,1,3,0,0,0,0,0,ok
0431,2,1,1,2,1,0,0,0,0,ok
0432,1,2,1,2,1,0,0,0,0,ok
0433,2,1,2,1,2,0,0,0,0,ok
0435,1,1,2,2,1,0,0,0,0,ok
0436,2,1,2,1,2,0,0,0,0,ok
0438,2,1,2,1,2,0,0,0,0,ok
0440,1,1,1,3,0,0,0,0,0,ok
0441,1,1,2,2,1,0,0,0,0,ok
0442,1,1,1,3,0,0,0,0,0,ok
0443,2,1,2,1,2,0,0,0,0,ok
0444,2,1,2,1,2,0,0,0,0,ok
0445,1,1,1,3,0,0,0,0,0,ok
0446,1,2,1,2,1,0,0,0,0,ok
0447,2,1,2,1,2,0,0,0,0,ok
0448,2,1,2,1,2,0,0,0,0,ok
0450,2,1,2,1,2,0,0,0,0,ok
0451,2,1,2,1,2,0,0,0,0,ok
0452,2,1,2,1,2,0,0,0,0,ok
0453,2,1,2,1,2,0,0,0,0,ok
0454,2,1,2,1,2,0,0,0,0,ok
0455,1,1,2,2,1,0,0,0,0,ok
0456,2,1,2,1,2,0,0,0,0,ok
0457,1,1,2,2,1,0,0,0,0,ok
0458,1,2,1,2,1,0,0,0,0,ok
0459,1,2,1,2,1,0,0,0,0,ok
0460,1,2,1,2,1,0,0,0,0,ok
0461,1,2,1,2,1,0,0,0,0,ok
0462,1,1,1,3,0,0,0,0,0,ok
0463,1,1,1,3,0,0,0,0,0,ok
0464,2,1,2,1,2,0,0,0,0,ok
0465,2,1,2,1,2,0,0,0,0,ok
0466,1,1,1,3,0,0,0,0,0,ok
0470,2,1,2,1,2,0,0,0,0,ok
0471,1,2,1,2,1,0,0,0,0,ok
0472,2,1,2,1,2,0,0,0,0,ok
0473,1,1,2,2,1,0,0,0,0,ok
0474,2,1,2,1,2,0,0,0,0,ok
0478,1,1,1,3,0,0,0,0,0,ok
0479,1,2,1,2,1,0,0,0,0,ok
0480,1,2,1,2,1,0,0,0,0,ok
0483,1,1,1,3,0,0,0,0,0,ok
0490,1,2,1,2,1,0,0,0,0,ok
0491,1,2,1,2,1,0,0,0,0,ok
0492,1,2,1,2,1,0,0,0,0,ok
0493,2,1,1,2,1,0,0,0,0,ok
0494,1,1,1,3,0,0,0,0,0,ok
0496,1,1,1,3,0,0,0,0,0,ok
0497,2,1,1,2,1,0,0,0,0,ok
0498,2,1,2,1,2,0,0,0,0,ok
0499,2,1,1,2,1,0,0,0,0,ok
0500,1,1,1,3,0,0,0,0,0,ok
0501,1,1,1,3,0,0,0,0,0,ok
0502,2,1,2,1,2,0,0,0,0,ok
0504,1,1,2,2,1,0,0,0,0,ok
0505,2,1,2,1,2,0,0,0,0,ok
0506,1,1,1,3,0,0,0,0,0,ok
0507,2,1,2,1,2,0,0,0,0,ok
0508,1,1,2,2,1,0,0,0,0,ok
0509,1,1,2,2,1,0,0,0,0,ok
0510,1,2,1,2,1,0,0,0,0,ok
0512,1,2,1,2,1,0,0,0,0,ok
0513,1,2,1,2,1,0,0,0,0,ok
0514,1,1,1,3,0,0,0,0,0,ok
0515,2,1,2,1,2,0,0,0,0,ok
0517,2,1,1,2,1,0,0,0,0,ok
0518,2,1,1,2,1,0,0,0,0,ok
0519,2,1,1,2,1,0,0,0,0,ok
0521,2,1,2,1,2,0,0,0,0,ok
0523,1,1,1,3,0,0,0,0,0,ok
0524,1,2,1,2,1,0,0,0,0,ok
0528,2,1,2,1,2,0,0,0,0,ok
0529,2,1,2,1,2,0,0,0,0,ok
0530,1,1,1,3,0,0,0,0,0,ok
0533,1,1,1,3,0,0,0,0,0,ok
0534,1,1,1,3,0,0,0,0,0,ok
0541,2,1,2,1,2,0,0,0,0,ok
0544,1,1,1,3,0,0,0,0,0,ok
0545,1,1,1,3,0,0,0,0,0,ok
0549,1,1,1,3,0,0,0,0,0,ok
0552,2,1,2,1,2,0,0,0,0,ok
0553,2,1,1,2,1,0,0,0,0,ok
0554,2,1,2,1,2,0,0,0,0,ok
0555,1,1,1,3,0,0,0,0,0,ok
0556,2,1,2,1,2,0,0,0,0,ok
0557,2,1,2,1,2,0,0,0,0,ok
0563,1,2,1,2,1,0,0,0,0,ok
0564,1,2,1,2,1,0,0,0,0,ok
0565,1,1,2,2,1,0,0,0,0,ok
0566,2,1,2,1,2,0,0,0,0,ok
0567,1,2,1,2,1,0,0,0,0,ok
0568,1,1,2,2,1,0,0,0,0,ok
0573,1,1,1,3,0,0,0,0,0,ok
0574,1,2,1,2,1,0,0,0,0,ok
0575,1,1,1,3,0,0,0,0,0,ok
0578,1,1,1,3,0,0,0,0,0,ok
0579,2,1,2,1,2,0,0,0,0,ok
0583,1,1,1,3,0,0,0,0,0,ok
0584,1,1,1,3,0,0,0,0,0,ok
0585,2,1,2,1,2,0,0,0,0,ok
0588,2,1,2,1,2,0,0,0,0,ok
0589,1,1,1,3,0,0,0,0,0,ok
0591,1,2,1,2,1,0,0,0,0,ok
0595,1,1,1,3,0,0,0,0,0,ok
0596,2,1,2,1,2,0,0,0,0,ok
0597,2,1,2,1,2,0,0,0,0,ok
0598,2,1,2,1,2,0,0,0,0,ok
0599,2,1,2,1,2,0,0,0,0,ok
0600,2,1,2,1,2,0,0,0,0,ok
0602,2,1,2,1,2,0,0,0,0,ok
0603,2,1,2,1,2,0,0,0,0,ok
0608,2,1,1,2,1,0,0,0,0,ok
0611,2,1,2,1,2,0,0,0,0,ok
0612,2,1,2,1,2,0,0,0,0,ok
0613,1,1,1,3,0,0,0,0,0,ok
0614,1,1,2,2,1,0,0,0,0,ok
0623,1,2,1,2,1,0,0,0,0,ok
0624,1,2,1,2,1,0,0,0,0,ok
0628,2,1,1,2,1,0,0,0,0,ok
0629,2,1,1,2,1,0,0,0,0,ok
0630,1,1,1,3,0,0,0,0,0,ok
0631,2,1,2,1,2,0,0,0,0,ok
0632,2,1,2,1,2,0,0,0,0,ok
0633,2,1,2,1,2,0,0,0,0,ok
0634,1,1,1,3,0,0,0,0,0,ok
0635,2,1,2,1,2,0,0,0,0,ok
0636,1,1,1,3,0,0,0,0,0,ok
0638,1,1,1,3,0,0,0,0,0,ok
0639,1,1,1,3,0,0,0,0,0,ok
0640,1,1,1,3,0,0,0,0,0,ok
0644,2,1,2,1,2,0,0,0,0,ok
0645,2,1,2,1,2,0,0,0,0,ok
0646,2,1,2,1,2,0,0,0,0,ok
0647,2,1,2,1,2,0,0,0,0,ok
0650,1,1,2,2,1,0,0,0,0,ok
0652,2,1,2,1,2,0,0,0,0,ok
0654,2,1,2,1,2,0,0,0,0,ok
0655,2,1,2,1,2,0,0,0,0,ok
0656,1,1,1,3,0,0,0,0,0,ok
0660,1,2,1,2,1,0,0,0,0,ok
0661,1,2,1,2,1,0,0,0,0,ok
0662,1,1,1,3,0,0,0,0,0,ok
0667,2,1,2,1,2,0,0,0,0,ok
0668,2,1,2,1,2,0,0,0,0,ok
0669,2,1,2,1,2,0,0,0,0,ok
0670,1,1,2,2,1,0,0,0,0,ok
0673,2,1,2,1,2,0,0,0,0,ok
0674,2,1,2,1,2,0,0,0,0,ok
0682,1,1,1,3,0,0,0,0,0,ok
0684,2,1,2,1,2,0,0,0,0,ok
0685,1,1,1,3,0,0,0,0,0,ok
0686,2,1,2,1,2,0,0,0,0,ok
0687,2,1,2,1,2,0,0,0,0,ok
0689,1,2,1,2,1,0,0,0,0,ok
0691,1,1,1,3,0,0,0,0,0,ok
0692,1,1,1,3,0,0,0,0,0,ok
0697,1,1,1,3,0,0,0,0,0,ok
0699,1,1,1,3,0,0,0,0,0,ok
0700,2,1,1,2,1,0,0,0,0,ok
0701,2,1,1,2,1,0,0,0,0,ok
0706,1,1,1,3,0,0,0,0,0,ok
0707,1,1,2,2,1,0,0,0,0,ok
0708,1,2,1,2,1,0,0,0,0,ok
0709,1,1,2,2,1,0,0,0,0,ok
0710,1,1,1,3,0,0,0,0,0,ok
0716,2,1,1,2,1,0,0,0,0,ok
0717,2,1,2,1,2,0,0,0,0,ok
0718,2,1,1,2,1,0,0,0,0,ok
0719,2,1,1,2,1,0,0,0,0,ok
0720,2,1,1,2,1,0,0,0,0,ok
0722,1,1,1,3,0,0,0,0,0,ok
0723,2,1,1,2,1,0,0,0,0,ok
0724,1,2,1,2,1,0,0,0,0,ok
0725,1,2,1,2,1,0,0,0,0,ok
0726,1,2,1,2,1,0,0,0,0,ok
0727,1,2,1,2,1,0,0,0,0,ok
0728,1,1,1,3,0,0,0,0,0,ok
0729,2,1,1,2,1,0,0,0,0,ok
0730,2,1,1,2,1,0,0,0,0,ok
0731,2,1,1,2,1,0,0,0,0,ok
0732,2,1,1,2,1,0,0,0,0,ok
0733,1,1,2,2,1,0,0,0,0,ok
0734,1,1,1,3,0,0,0,0,0,ok
0735,1,1,2,2,1,0,0,0,0,ok
0736,1,2,1,2,1,0,0,0,0,ok
0737,2,1,2,1,2,0,0,0,0,ok
0738,1,2,1,2,1,0,0,0,0,ok
0739,1,2,1,2,1,0,0,0,0,ok
0740,1,2,1,2,1,0,0,0,0,ok
0742,1,1,2,2,1,0,0,0,0,ok
0743,1,1,1,3,0,0,0,0,0,ok
0745,2,1,1,2,1,0,0,0,0,ok
0746,1,1,2,2,1,0,0,0,0,ok
0747,2,1,1,2,1,0,0,0,0,ok
0749,2,1,2,1,2,0,0,0,0,ok
0753,1,1,1,3,0,0,0,0,0,ok
0755,2,1,2,1,2,0,0,0,0,ok
0761,2,1,2,1,2,0,0,0,0,ok
0763,2,1,2,1,2,0,0,0,0,ok
0764,2,1,2,1,2,0,0,0,0,ok
0767,1,1,1,3,0,0,0,0,0,ok
0768,1,1,1,3,0,0,0,0,0,ok
0769,2,1,2,1,2,0,0,0,0,ok
0772,1,1,1,3,0,0,0,0,0,ok
0774,2,1,2,1,2,0,0,0,0,ok
0775,2,1,2,1,2,0,0,0,0,ok
0776,2,1,2,1,2,0,0,0,0,ok
0777,2,1,2,1,2,0,0,0,0,ok
0778,2,1,2,1,2,0,0,0,0,ok
0780,1,1,1,3,0,0,0,0,0,ok
