sample_id,scene_path,timestamp,target_x,target_y,displacement,avg_speed,f1_state,f2_state,f3_state,n_ped_green,n_ped_red,has_green,red_only,is_moving,nearest_dist,n_neighbors
85,0010_20230322_115554,1679486214680035,0.0,0.0,6.629923,1.325985,1,1,1,0,3,0,1,1,0.766005,7
86,0010_20230322_115554,1679486216120035,0.0,0.0,7.031744,1.406349,1,1,1,0,3,0,1,1,0.783992,7
87,0010_20230322_115554,1679486216280035,0.0,0.0,6.657083,1.331417,1,1,1,0,3,0,1,1,1.299005,7
89,0011_20230322_115737,1679486288280035,0.0,0.0,0.009491,0.001898,1,1,1,0,3,0,1,0,12.447175,6
90,0011_20230322_115737,1679486288000035,0.0,0.0,0.006715,0.001343,1,1,1,0,3,0,1,0,9.085932,8
91,0011_20230322_115737,1679486277800035,0.0,0.0,4.644126,0.928825,2,1,1,1,2,1,0,1,0.644273,8
92,0011_20230322_115737,1679486308280035,0.0,0.0,0.042753,0.008551,1,1,1,0,3,0,1,0,13.772992,8
93,0011_20230322_115737,1679486274720035,0.0,0.0,6.547996,1.309599,2,1,1,1,2,1,0,1,5.492598,9
94,0011_20230322_115737,1679486272680035,0.0,0.0,7.325707,1.465141,2,1,1,1,2,1,0,1,0.587977,10
96,0011_20230322_115737,1679486273760035,0.0,0.0,4.54705,0.90941,2,1,1,1,2,1,0,1,0.281822,9
99,0011_20230322_115737,1679486268560035,0.0,0.0,6.743101,1.546583,2,1,1,1,2,1,0,1,0.539123,9
100,0012_20230322_120632,1679486825600035,0.0,0.0,0.062038,0.012408,1,1,1,0,3,0,1,0,8.017803,9
101,0012_20230322_120632,1679486825680035,0.0,0.0,0.146905,0.029381,1,1,1,0,3,0,1,0,1.614079,9
102,0012_20230322_120632,1679486829440035,0.0,0.0,3.707291,0.741458,1,2,1,1,2,1,0,1,1.179681,8
104,0012_20230322_120632,1679486836960035,0.0,0.0,7.636247,1.527249,1,2,1,1,2,1,0,1,2.111936,14
105,0012_20230322_120632,1679486808240035,0.0,0.0,3.600449,0.72009,2,1,1,1,2,1,0,1,0.727024,10
106,0012_20230322_120632,1679486845520035,0.0,0.0,3.11371,0.622742,1,1,1,0,3,0,1,1,0.707994,15
107,0012_20230322_120632,1679486805040035,0.0,0.0,6.557478,1.311496,2,1,2,2,1,1,0,1,0.217831,12
109,0012_20230322_120632,1679486849560035,0.0,0.0,0.042266,0.008453,1,1,1,0,3,0,1,0,0.371345,12
110,0012_20230322_120632,1679486820880035,0.0,0.0,7.074741,1.414948,1,1,1,0,3,0,1,1,16.166198,8
111,0012_20230322_120632,1679486799520035,0.0,0.0,6.312627,1.262525,2,1,2,2,1,1,0,1,0.578034,8
112,0013_20230323_082718,1679560076199984,0.0,0.0,6.567281,1.313456,2,1,1,1,2,1,0,1,10.523214,8
113,0013_20230323_082718,1679560076199984,0.0,0.0,0.198954,0.039791,2,1,1,1,2,1,0,0,10.849195,8
114,0013_20230323_082718,1679560068079987,0.0,0.0,7.545703,1.509141,2,1,1,1,2,1,0,1,9.851299,7
115,0013_20230323_082718,1679560046920026,0.0,0.0,7.511613,1.502323,2,1,2,2,1,1,0,1,8.035767,15
116,0013_20230323_082718,1679560044840008,0.0,0.0,8.030376,1.606075,2,1,2,2,1,1,0,1,5.363889,15
118,0014_20230323_082848,1679560169560005,0.0,0.0,0.715564,0.143113,2,1,1,1,2,1,0,1,12.284529,8
119,0014_20230323_082848,1679560169560005,0.0,0.0,0.053105,0.010621,2,1,1,1,2,1,0,0,4.456637,8
120,0014_20230323_082848,1679560170320011,0.0,0.0,0.106114,0.021223,2,1,1,1,2,1,0,0,8.384024,8
121,0014_20230323_082848,1679560185359990,0.0,0.0,5.454492,1.090898,1,2,1,1,2,1,0,1,9.236698,10
122,0015_20230323_083456,1679560532920026,0.0,0.0,0.205589,0.041118,2,1,1,1,2,1,0,0,1.687338,12
123,0015_20230323_083456,1679560532920026,0.0,0.0,0.001324,0.000265,2,1,1,1,2,1,0,0,2.327458,12
124,0015_20230323_083456,1679560532920026,0.0,0.0,0.032381,0.006476,2,1,1,1,2,1,0,0,8.957588,12
125,0015_20230323_083456,1679560533119996,0.0,0.0,0.103201,0.02064,2,1,1,1,2,1,0,0,0.786652,12
126,0015_20230323_083456,1679560530320011,0.0,0.0,0.329737,0.065947,2,1,1,1,2,1,0,0,1.670565,11
127,0015_20230323_083456,1679560544840008,0.0,0.0,3.491142,0.698228,1,2,1,1,2,1,0,1,1.4348,14
128,0015_20230323_083456,1679560550600014,0.0,0.0,0.155876,0.031175,1,2,1,1,2,1,0,0,0.812057,15
129,0015_20230323_083456,1679560515960035,0.0,0.0,5.548182,1.109636,2,1,2,2,1,1,0,1,10.371311,15
130,0015_20230323_083456,1679560518760020,0.0,0.0,8.742712,1.748542,2,1,1,1,2,1,0,1,1.154182,14
131,0015_20230323_083456,1679560556199984,0.0,0.0,7.283801,1.45676,1,2,1,1,2,1,0,1,1.599609,15
132,0015_20230323_083456,1679560508640023,0.0,0.0,0.016313,0.003263,2,1,2,2,1,1,0,0,0.448214,15
133,0015_20230323_083456,1679560548000000,0.0,0.0,6.490517,1.298103,1,2,1,1,2,1,0,1,3.416975,15
134,0015_20230323_083456,1679560558359990,0.0,0.0,6.006628,1.201326,1,1,1,0,3,0,1,1,0.044731,15
135,0015_20230323_083456,1679560537039978,0.0,0.0,6.803011,1.360602,1,1,1,0,3,0,1,1,12.22673,15
136,0016_20230323_083733,1679560700640023,0.0,0.0,0.001015,0.000203,2,1,1,1,2,1,0,0,1.072653,15
137,0016_20230323_083733,1679560699239993,0.0,0.0,0.031473,0.006295,2,1,1,1,2,1,0,0,1.170691,15
138,0016_20230323_083733,1679560698480017,0.0,0.0,0.154502,0.0309,2,1,1,1,2,1,0,0,1.165975,15
139,0016_20230323_083733,1679560737039978,0.0,0.0,0.033779,0.006756,1,1,1,0,3,0,1,0,6.876774,15
140,0016_20230323_083733,1679560706239993,0.0,0.0,0.08196,0.016392,2,1,1,1,2,1,0,0,1.679178,15
141,0016_20230323_083733,1679560726840008,0.0,0.0,5.804732,1.160946,1,2,1,1,2,1,0,1,0.214705,15
142,0016_20230323_083733,1679560727960035,0.0,0.0,7.397501,1.4795,1,2,1,1,2,1,0,1,1.541154,15
143,0016_20230323_083733,1679560699079987,0.0,0.0,0.047382,0.009476,2,1,1,1,2,1,0,0,1.115949,15
144,0016_20230323_083733,1679560663160005,0.0,0.0,6.385645,1.277129,1,1,2,1,2,1,0,1,1.20249,15
145,0016_20230323_083733,1679560719000000,0.0,0.0,2.711088,0.542218,1,1,1,0,3,0,1,1,2.844793,15
146,0016_20230323_083733,1679560689079987,0.0,0.0,7.102159,1.420432,2,1,2,2,1,1,0,1,7.797388,15
147,0016_20230323_083733,1679560705720011,0.0,0.0,0.705902,0.14118,2,1,1,1,2,1,0,1,0.233781,15
148,0016_20230323_083733,1679560766920026,0.0,0.0,5.681825,1.136365,2,1,2,2,1,1,0,1,7.724017,14
149,0016_20230323_083733,1679560767280002,0.0,0.0,6.861244,1.372249,2,1,2,2,1,1,0,1,7.749119,14
150,0016_20230323_083733,1679560729800029,0.0,0.0,7.654321,1.530864,1,2,1,1,2,1,0,1,1.579731,15
151,0016_20230323_083733,1679560733680002,0.0,0.0,7.373492,1.474698,1,2,1,1,2,1,0,1,1.420608,15
152,0016_20230323_083733,1679560666480017,0.0,0.0,6.834912,1.366982,1,1,2,1,2,1,0,1,10.876928,15
153,0016_20230323_083733,1679560659800029,0.0,0.0,3.436177,0.687235,1,1,2,1,2,1,0,1,1.667136,15
154,0016_20230323_083733,1679560658800029,0.0,0.0,6.818686,1.363737,1,1,2,1,2,1,0,1,4.02011,15
155,0016_20230323_083733,1679560658320011,0.0,0.0,7.471125,1.556489,1,1,1,0,3,0,1,1,3.808215,15
156,0016_20230323_083733,1679560735760020,0.0,0.0,6.382273,1.424623,1,2,1,1,2,1,0,1,0.703305,15
3499,0016_20230323_083733,1679560700640023,0.0,0.0,0.001015,0.000203,2,1,1,1,2,1,0,0,1.072653,15
3500,0016_20230323_083733,1679560698480017,0.0,0.0,0.154502,0.0309,2,1,1,1,2,1,0,0,1.165975,15
3501,0016_20230323_083733,1679560737039978,0.0,0.0,0.033779,0.006756,1,1,1,0,3,0,1,0,6.876774,15
3502,0016_20230323_083733,1679560706239993,0.0,0.0,0.08196,0.016392,2,1,1,1,2,1,0,0,1.679178,15
3503,0016_20230323_083733,1679560726840008,0.0,0.0,5.804732,1.160946,1,2,1,1,2,1,0,1,0.214705,15
3504,0016_20230323_083733,1679560750280002,0.0,0.0,6.209514,1.241903,1,1,2,1,2,1,0,1,6.286208,14
3505,0016_20230323_083733,1679560699079987,0.0,0.0,0.047382,0.009476,2,1,1,1,2,1,0,0,1.115949,15
3506,0016_20230323_083733,1679560663160005,0.0,0.0,6.385645,1.277129,1,1,2,1,2,1,0,1,1.20249,15
3507,0016_20230323_083733,1679560719000000,0.0,0.0,2.711088,0.542218,1,1,1,0,3,0,1,1,2.844793,15
3508,0016_20230323_083733,1679560689079987,0.0,0.0,7.102159,1.420432,2,1,2,2,1,1,0,1,7.797388,15
3509,0016_20230323_083733,1679560705720011,0.0,0.0,0.705902,0.14118,2,1,1,1,2,1,0,1,0.233781,15
3510,0016_20230323_083733,1679560766920026,0.0,0.0,5.681825,1.136365,2,1,2,2,1,1,0,1,7.724017,14
3511,0016_20230323_083733,1679560767280002,0.0,0.0,6.861244,1.372249,2,1,2,2,1,1,0,1,7.749119,14
3512,0016_20230323_083733,1679560739440008,0.0,0.0,6.110566,1.222113,1,1,1,0,3,0,1,1,0.40614,15
3513,0016_20230323_083733,1679560729800029,0.0,0.0,7.654321,1.530864,1,2,1,1,2,1,0,1,1.579731,15
3514,0016_20230323_083733,1679560733680002,0.0,0.0,7.373492,1.474698,1,2,1,1,2,1,0,1,1.420608,15
3515,0016_20230323_083733,1679560666480017,0.0,0.0,6.834912,1.366982,1,1,2,1,2,1,0,1,10.876928,15
3516,0016_20230323_083733,1679560659800029,0.0,0.0,3.436177,0.687235,1,1,2,1,2,1,0,1,1.667136,15
3517,0016_20230323_083733,1679560658800029,0.0,0.0,6.818686,1.363737,1,1,2,1,2,1,0,1,4.02011,15
158,0017_20230323_084041,1679560886880017,0.0,0.0,0.056226,0.011245,2,1,1,1,2,1,0,0,7.499492,5
160,0017_20230323_084041,1679560902440008,0.0,0.0,2.128996,0.425799,1,2,1,1,2,1,0,1,0.948469,7
161,0017_20230323_084041,1679560935680002,0.0,0.0,0.038515,0.007703,1,1,2,1,2,1,0,0,2.75156,13
162,0017_20230323_084041,1679560939480017,0.0,0.0,0.047294,0.009459,1,1,2,1,2,1,0,0,1.890236,14
163,0017_20230323_084041,1679560942680002,0.0,0.0,0.046741,0.009348,2,1,2,2,1,1,0,0,1.646248,14
164,0017_20230323_084041,1679560943960035,0.0,0.0,7.26225,1.45245,2,1,2,2,1,1,0,1,9.343207,14
165,0017_20230323_084041,1679560919079987,0.0,0.0,8.227921,1.645584,1,1,1,0,3,0,1,1,8.678884,14
166,0017_20230323_084041,1679560868920026,0.0,0.0,8.156874,1.631375,2,1,2,2,1,1,0,1,7.020822,8
167,0017_20230323_084041,1679560948199984,0.0,0.0,0.044845,0.008969,2,1,2,2,1,1,0,0,1.305628,10
168,0017_20230323_084041,1679560949399999,0.0,0.0,0.160376,0.032075,2,1,2,2,1,1,0,0,11.968105,11
169,0017_20230323_084041,1679560905519996,0.0,0.0,6.47161,1.294322,1,2,1,1,2,1,0,1,7.178883,7
170,0017_20230323_084041,1679560871560005,0.0,0.0,0.490704,0.098141,2,1,2,2,1,1,0,0,5.811622,7
173,0018_20230323_085243,1679561604960035,0.0,0.0,0.037259,0.007452,2,1,1,1,2,1,0,0,5.987198,7
174,0018_20230323_085243,1679561622560005,0.0,0.0,0.051521,0.010304,1,2,1,1,2,1,0,0,5.097689,6
175,0018_20230323_085243,1679561623600014,0.0,0.0,0.005582,0.001116,1,2,1,1,2,1,0,0,2.528703,6
176,0018_20230323_085243,1679561623920026,0.0,0.0,0.018343,0.003669,1,2,1,1,2,1,0,0,2.529551,6
177,0019_20230323_103917,1679567995320011,0.0,0.0,0.057447,0.011489,2,1,1,1,2,1,0,0,17.637908,4
178,0019_20230323_103917,1679567995079987,0.0,0.0,0.178318,0.035664,2,1,1,1,2,1,0,0,13.818534,4
179,0019_20230323_103917,1679568023960035,0.0,0.0,5.161182,1.032236,1,2,1,1,2,1,0,1,3.034608,12
180,0019_20230323_103917,1679568026640023,0.0,0.0,0.827545,0.165509,1,1,1,0,3,0,1,1,9.357636,11
185,0020_20230323_110950,1679569839760020,0.0,0.0,0.088843,0.017769,1,1,2,1,2,1,0,0,15.342988,8
186,0020_20230323_110950,1679569837560005,0.0,0.0,7.715178,1.543036,1,1,2,1,2,1,0,1,19.474355,7
187,0020_20230323_110950,1679569900119996,0.0,0.0,4.894741,0.978948,1,2,1,1,2,1,0,1,19.537126,4
188,0020_20230323_110950,1679569868920026,0.0,0.0,13.42182,2.684364,2,1,2,2,1,1,0,1,10.530838,9
189,0020_20230323_110950,1679569902800029,0.0,0.0,3.963729,0.792746,1,2,1,1,2,1,0,1,0.531396,6
190,0020_20230323_110950,1679569879640023,0.0,0.0,9.305316,1.861063,2,1,1,1,2,1,0,1,3.641796,4
191,0020_20230323_110950,1679569909039978,0.0,0.0,7.786826,1.557365,1,2,1,1,2,1,0,1,0.785448,8
192,0020_20230323_110950,1679569911760020,0.0,0.0,1.839231,0.367846,1,1,1,0,3,0,1,1,23.469762,9
193,0021_20230323_111223,1679569977440008,0.0,0.0,0.100192,0.020038,2,1,1,1,2,1,0,0,11.40457,7
194,0021_20230323_111223,1679569982039978,0.0,0.0,0.171298,0.03426,2,1,1,1,2,1,0,0,8.883988,7
195,0021_20230323_111223,1679569993760020,0.0,0.0,5.065917,1.013183,1,2,1,1,2,1,0,1,8.696999,4
197,0021_20230323_111223,1679570006239993,0.0,0.0,8.146989,1.629398,1,1,1,0,3,0,1,1,12.586175,9
198,0022_20230323_112653,1679570868480017,0.0,0.0,0.004025,0.000805,2,1,2,2,1,1,0,0,1.970097,3
199,0022_20230323_112653,1679570879560005,0.0,0.0,6.819222,1.363844,1,2,1,1,2,1,0,1,2.197054,4
200,0023_20230323_113346,1679571252640023,0.0,0.0,4.122662,0.824532,1,2,1,1,2,1,0,1,12.192976,4
201,0023_20230323_113346,1679571252640023,0.0,0.0,3.043649,0.60873,1,2,1,1,2,1,0,1,0.505199,4
202,0023_20230323_113346,1679571249760020,0.0,0.0,0.037292,0.007458,1,1,1,0,3,0,1,0,0.6081,6
203,0024_20230323_113536,1679571392760020,0.0,0.0,0.089475,0.017895,2,1,2,2,1,1,0,0,0.061589,5
204,0024_20230323_113536,1679571394600014,0.0,0.0,0.004451,0.00089,2,1,2,2,1,1,0,0,0.089617,6
205,0024_20230323_113536,1679571371760020,0.0,0.0,8.171237,1.634247,2,1,2,2,1,1,0,1,6.737212,6
206,0024_20230323_113536,1679571389359990,0.0,0.0,8.193255,1.638651,2,1,2,2,1,1,0,1,4.364691,5
207,0024_20230323_113536,1679571435760020,0.0,0.0,3.153073,0.630615,1,2,1,1,2,1,0,1,7.499613,10
209,0025_20230523_092441,1684833934560005,0.0,0.0,0.190811,0.038162,1,1,1,0,3,0,1,0,4.756902,12
210,0025_20230523_092441,1684833907280002,0.0,0.0,0.01174,0.002348,1,1,1,0,3,0,1,0,1.611555,9
211,0025_20230523_092441,1684833916840008,0.0,0.0,7.421757,1.484351,1,2,1,1,2,1,0,1,13.363888,14
212,0025_20230523_092441,1684833902199984,0.0,0.0,0.049446,0.009889,2,1,1,1,2,1,0,0,0.66958,6
213,0025_20230523_092441,1684833949320011,0.0,0.0,2.077143,0.415429,1,1,2,1,2,1,0,1,0.664717,10
214,0025_20230523_092441,1684833949680002,0.0,0.0,1.764508,0.352902,2,1,2,2,1,1,0,1,0.626579,11
215,0025_20230523_092441,1684833922320011,0.0,0.0,7.443311,1.488662,1,2,1,1,2,1,0,1,1.345362,15
216,0025_20230523_092441,1684833919000000,0.0,0.0,7.321358,1.464272,1,2,1,1,2,1,0,1,1.725901,15
217,0025_20230523_092441,1684833918359990,0.0,0.0,7.995519,1.599104,1,2,1,1,2,1,0,1,1.197185,15
218,0025_20230523_092441,1684833927119996,0.0,0.0,7.630949,1.52619,1,1,1,0,3,0,1,1,3.080431,15
219,0025_20230523_092441,1684833890399999,0.0,0.0,0.640896,0.128179,2,1,1,1,2,1,0,1,0.742883,4
220,0025_20230523_092441,1684833902880017,0.0,0.0,0.20487,0.041305,2,1,1,1,2,1,0,0,0.692256,7
221,0025_20230523_092441,1684833923119996,0.0,0.0,7.615343,1.54784,1,2,1,1,2,1,0,1,0.822561,15
222,0025_20230523_092441,1684833892160005,0.0,0.0,0.183249,0.038498,2,1,1,1,2,1,0,0,0.751068,4
223,0026_20230523_092622,1684834041199984,0.0,0.0,0.162529,0.032506,2,1,2,2,1,1,0,0,2.399697,14
224,0026_20230523_092622,1684834011600014,0.0,0.0,8.671067,1.734213,1,2,1,1,2,1,0,1,0.131422,13
225,0026_20230523_092622,1684834045119996,0.0,0.0,0.025131,0.005026,2,1,2,2,1,1,0,0,2.575767,15
226,0026_20230523_092622,1684834006039978,0.0,0.0,5.560239,1.112048,1,2,1,1,2,1,0,1,0.785732,10
227,0026_20230523_092622,1684834013239993,0.0,0.0,8.327212,1.665442,1,2,1,1,2,1,0,1,0.077064,13
228,0026_20230523_092622,1684833994880017,0.0,0.0,6.883216,1.376643,2,1,1,1,2,1,0,1,5.405171,7
229,0026_20230523_092622,1684834009760020,0.0,0.0,8.665234,1.733047,1,2,1,1,2,1,0,1,7.394054,11
231,0026_20230523_092622,1684834004840008,0.0,0.0,8.949675,1.789935,1,2,1,1,2,1,0,1,19.022854,12
232,0026_20230523_092622,1684834039079987,0.0,0.0,7.701884,1.540377,1,1,2,1,2,1,0,1,5.782416,15
233,0026_20230523_092622,1684834004440008,0.0,0.0,7.659717,1.531943,1,2,1,1,2,1,0,1,4.548983,12
234,0027_20230523_093337,1684834452600014,0.0,0.0,2.152269,0.430454,1,2,1,1,2,1,0,1,0.184461,6
235,0027_20230523_093337,1684834460640023,0.0,0.0,5.742756,1.148551,1,2,1,1,2,1,0,1,0.116324,5
236,0027_20230523_093337,1684834449199984,0.0,0.0,0.023157,0.004631,1,1,1,0,3,0,1,0,9.270445,7
237,0027_20230523_093337,1684834435000000,0.0,0.0,6.587175,1.317435,2,1,1,1,2,1,0,1,6.876401,15
238,0027_20230523_093337,1684834484720011,0.0,0.0,5.723372,1.144674,1,1,2,1,2,1,0,1,12.335733,9
