sample_id,split,track_id,n_obs_frames,n_future_frames,nonzero_vru_cells,nonzero_vehicle_cells,dominant_ground_type,f1_last,f2_last,f3_last,future_start_x,future_start_y,future_end_x,future_end_y
21,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9491,2.4605,-2.9996,2.346
22,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.953,2.4227,-3.0009,2.3479
23,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9564,2.3873,-3.0017,2.3489
24,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9603,2.3565,-3.0018,2.349
25,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9649,2.3316,-3.0015,2.3486
26,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9705,2.3135,-3.0009,2.3476
27,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9775,2.3025,-3.0001,2.3462
28,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9856,2.2982,-2.9993,2.3448
29,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9944,2.2998,-2.9985,2.3434
30,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0033,2.3058,-2.9982,2.3423
31,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0116,2.3142,-2.9981,2.3413
32,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0189,2.3232,-2.9983,2.3405
33,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0248,2.3319,-2.9988,2.3397
34,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0289,2.34,-2.9999,2.3389
35,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0312,2.347,-3.0015,2.3384
36,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0322,2.3525,-3.0037,2.3381
37,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0325,2.3562,-3.0062,2.3382
38,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0323,2.3584,-3.0085,2.3386
39,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0317,2.3593,-3.0099,2.3391
40,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0308,2.359,-3.0101,2.3395
41,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0294,2.3576,-3.0088,2.3393
42,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0276,2.3557,-3.0059,2.3381
43,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0253,2.3529,-3.0017,2.3354
44,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0222,2.3494,-2.9961,2.331
45,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0183,2.345,-2.9893,2.3246
46,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0139,2.3397,-2.9815,2.3163
47,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0089,2.3336,-2.9723,2.3067
48,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-3.0036,2.327,-2.9613,2.2965
49,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.998,2.3201,-2.948,2.2864
50,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9924,2.3134,-2.932,2.2767
51,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.987,2.3073,-2.9129,2.268
52,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9824,2.3022,-2.8904,2.2604
53,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9788,2.2983,-2.8645,2.2538
54,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9762,2.2957,-2.8351,2.2477
55,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9744,2.2946,-2.802,2.2414
56,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9735,2.2949,-2.7652,2.2345
57,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9732,2.2966,-2.725,2.2267
58,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9734,2.2995,-2.6821,2.2179
59,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9742,2.3034,-2.6371,2.2087
60,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,red,red,green,-2.9758,2.3077,-2.5909,2.1988
61,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9782,2.3125,-2.5439,2.1879
62,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9812,2.3176,-2.4969,2.1764
63,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9847,2.323,-2.451,2.1643
64,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9884,2.3285,-2.4073,2.1516
65,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9919,2.334,-2.3673,2.1384
66,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.995,2.3389,-2.3322,2.1247
67,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9977,2.3429,-2.303,2.111
68,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9996,2.346,-2.2801,2.0977
69,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0009,2.3479,-2.2636,2.0854
70,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0017,2.3489,-2.2534,2.0749
71,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0018,2.349,-2.2487,2.0669
72,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0015,2.3486,-2.2485,2.0618
73,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0009,2.3476,-2.2521,2.0593
74,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0001,2.3462,-2.259,2.0591
75,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9993,2.3448,-2.2682,2.061
76,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9985,2.3434,-2.2786,2.0643
77,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9982,2.3423,-2.2893,2.0683
78,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9981,2.3413,-2.2992,2.0723
79,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9983,2.3405,-2.3077,2.0759
80,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9988,2.3397,-2.3142,2.0788
81,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9999,2.3389,-2.3189,2.081
82,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0015,2.3384,-2.3218,2.0826
83,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0037,2.3381,-2.3231,2.084
84,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0062,2.3382,-2.3233,2.0852
85,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0085,2.3386,-2.3225,2.0859
86,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0099,2.3391,-2.321,2.0867
87,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0101,2.3395,-2.3192,2.0877
88,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0088,2.3393,-2.3172,2.0888
89,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0059,2.3381,-2.3153,2.0899
90,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-3.0017,2.3354,-2.3139,2.0912
91,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9961,2.331,-2.3126,2.0927
92,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9893,2.3246,-2.3115,2.0944
93,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9815,2.3163,-2.3107,2.0962
94,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9723,2.3067,-2.3103,2.0978
95,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9613,2.2965,-2.3102,2.0989
96,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.948,2.2864,-2.3106,2.0992
97,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.932,2.2767,-2.3116,2.0984
98,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.9129,2.268,-2.3129,2.097
99,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.8904,2.2604,-2.3145,2.0953
100,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.8645,2.2538,-2.3161,2.0936
101,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.8351,2.2477,-2.3176,2.0919
102,unknown,0000_20230322_081506/000,38,48,1,0,sidewalk,green,red,green,-2.802,2.2414,-2.3191,2.0904
103,unknown,0000_20230322_081506/000,38,48,2,0,sidewalk,green,red,green,-2.7652,2.2345,-2.3204,2.0891
104,unknown,0000_20230322_081506/000,38,48,3,0,sidewalk,green,red,green,-2.725,2.2267,-2.3216,2.088
105,unknown,0000_20230322_081506/000,38,48,4,0,sidewalk,green,red,green,-2.6821,2.2179,-2.3227,2.0872
106,unknown,0000_20230322_081506/000,38,48,5,0,sidewalk,green,red,green,-2.6371,2.2087,-2.3239,2.0866
107,unknown,0000_20230322_081506/000,38,48,6,0,sidewalk,green,red,green,-2.5909,2.1988,-2.3253,2.0864
108,unknown,0000_20230322_081506/000,38,48,7,0,sidewalk,green,red,green,-2.5439,2.1879,-2.327,2.0864
109,unknown,0000_20230322_081506/000,38,48,8,0,sidewalk,green,red,green,-2.4969,2.1764,-2.3286,2.0865
110,unknown,0000_20230322_081506/000,38,48,9,0,sidewalk,green,red,green,-2.451,2.1643,-2.3296,2.0868
111,unknown,0000_20230322_081506/000,38,48,10,0,sidewalk,green,red,green,-2.4073,2.1516,-2.3298,2.087
112,unknown,0000_20230322_081506/000,38,48,11,0,sidewalk,green,red,green,-2.3673,2.1384,-2.3294,2.0869
113,unknown,0000_20230322_081506/000,38,48,12,0,sidewalk,green,red,green,-2.3322,2.1247,-2.3285,2.0863
114,unknown,0000_20230322_081506/000,38,48,13,0,sidewalk,green,red,green,-2.303,2.111,-2.3275,2.0853
115,unknown,0000_20230322_081506/000,38,48,14,0,sidewalk,green,red,green,-2.2801,2.0977,-2.3263,2.0842
116,unknown,0000_20230322_081506/000,38,48,15,0,sidewalk,green,red,green,-2.2636,2.0854,-2.325,2.083
117,unknown,0000_20230322_081506/000,38,48,16,0,sidewalk,green,red,green,-2.2534,2.0749,-2.324,2.0819
118,unknown,0000_20230322_081506/000,38,48,17,0,sidewalk,green,red,green,-2.2487,2.0669,-2.3232,2.0807
119,unknown,0000_20230322_081506/000,38,48,18,0,sidewalk,green,red,green,-2.2485,2.0618,-2.3225,2.0794
120,unknown,0000_20230322_081506/000,38,48,19,0,sidewalk,green,red,green,-2.2521,2.0593,-2.3219,2.0781
121,unknown,0000_20230322_081506/000,38,48,20,0,sidewalk,green,red,green,-2.259,2.0591,-2.3212,2.077
122,unknown,0000_20230322_081506/000,38,48,21,0,sidewalk,green,red,green,-2.2682,2.061,-2.3205,2.0765
123,unknown,0000_20230322_081506/000,38,48,22,0,sidewalk,green,red,green,-2.2786,2.0643,-2.3202,2.0765
124,unknown,0000_20230322_081506/000,38,48,23,0,sidewalk,green,red,green,-2.2893,2.0683,-2.32,2.0772
125,unknown,0000_20230322_081506/000,38,48,24,0,sidewalk,green,red,green,-2.2992,2.0723,-2.3201,2.0782
126,unknown,0000_20230322_081506/000,38,48,25,0,sidewalk,green,red,green,-2.3077,2.0759,-2.3205,2.079
127,unknown,0000_20230322_081506/000,38,48,26,0,sidewalk,green,red,green,-2.3142,2.0788,-2.3213,2.0794
128,unknown,0000_20230322_081506/000,38,48,27,0,sidewalk,green,red,green,-2.3189,2.081,-2.3225,2.0792
129,unknown,0000_20230322_081506/000,38,48,28,0,sidewalk,green,red,green,-2.3218,2.0826,-2.324,2.0784
130,unknown,0000_20230322_081506/000,38,48,29,0,sidewalk,green,red,green,-2.3231,2.084,-2.3257,2.0772
131,unknown,0000_20230322_081506/000,38,48,30,0,sidewalk,green,red,green,-2.3233,2.0852,-2.3274,2.0757
132,unknown,0000_20230322_081506/000,38,48,31,0,sidewalk,green,red,green,-2.3225,2.0859,-2.3287,2.0744
133,unknown,0000_20230322_081506/000,38,48,31,0,sidewalk,green,red,green,-2.321,2.0867,-2.3292,2.0734
134,unknown,0000_20230322_081506/000,38,48,31,0,sidewalk,green,red,green,-2.3192,2.0877,-2.3287,2.0731
135,unknown,0000_20230322_081506/000,38,48,31,0,sidewalk,green,red,green,-2.3172,2.0888,-2.3272,2.0736
136,unknown,0000_20230322_081506/000,38,48,31,0,sidewalk,green,red,green,-2.3153,2.0899,-2.3247,2.0754
137,unknown,0000_20230322_081506/000,38,48,31,0,sidewalk,green,red,green,-2.3139,2.0912,-2.3214,2.0792
138,unknown,0000_20230322_081506/000,38,48,31,0,sidewalk,green,red,green,-2.3126,2.0927,-2.3173,2.0855
139,unknown,0000_20230322_081506/000,38,48,31,0,sidewalk,green,red,green,-2.3115,2.0944,-2.3125,2.0943
140,unknown,0000_20230322_081506/000,38,48,30,0,sidewalk,green,red,green,-2.3107,2.0962,-2.3069,2.1051
141,unknown,0000_20230322_081506/000,38,48,29,0,sidewalk,green,red,green,-2.3103,2.0978,-2.3007,2.1175
142,unknown,0000_20230322_081506/000,38,48,28,0,sidewalk,green,red,green,-2.3102,2.0989,-2.2942,2.131
143,unknown,0000_20230322_081506/000,38,48,27,0,sidewalk,green,red,green,-2.3106,2.0992,-2.2874,2.1451
144,unknown,0000_20230322_081506/000,38,48,26,0,sidewalk,green,red,green,-2.3116,2.0984,-2.2807,2.1596
145,unknown,0000_20230322_081506/000,38,48,25,0,sidewalk,green,red,green,-2.3129,2.097,-2.2743,2.174
146,unknown,0000_20230322_081506/000,38,48,24,0,sidewalk,green,red,green,-2.3145,2.0953,-2.2684,2.1879
147,unknown,0000_20230322_081506/000,38,48,23,0,sidewalk,green,red,green,-2.3161,2.0936,-2.263,2.2008
148,unknown,0000_20230322_081506/000,38,48,22,0,sidewalk,green,red,green,-2.3176,2.0919,-2.2582,2.2121
149,unknown,0000_20230322_081506/000,38,48,21,0,sidewalk,green,red,green,-2.3191,2.0904,-2.2542,2.2213
150,unknown,0000_20230322_081506/000,38,48,20,0,sidewalk,green,red,green,-2.3204,2.0891,-2.2511,2.2277
151,unknown,0000_20230322_081506/000,38,48,19,0,sidewalk,green,red,green,-2.3216,2.088,-2.249,2.2316
152,unknown,0000_20230322_081506/000,38,48,18,0,sidewalk,green,red,green,-2.3227,2.0872,-2.248,2.233
153,unknown,0000_20230322_081506/000,38,48,17,0,sidewalk,green,red,green,-2.3239,2.0866,-2.2478,2.2322
154,unknown,0000_20230322_081506/000,38,48,16,0,sidewalk,green,red,green,-2.3253,2.0864,-2.2484,2.2297
155,unknown,0000_20230322_081506/000,38,48,15,0,sidewalk,green,red,green,-2.327,2.0864,-2.2496,2.2259
156,unknown,0000_20230322_081506/000,38,48,14,0,sidewalk,green,red,green,-2.3286,2.0865,-2.2514,2.2213
157,unknown,0000_20230322_081506/000,38,48,13,0,sidewalk,green,red,green,-2.3296,2.0868,-2.2535,2.2161
158,unknown,0000_20230322_081506/000,38,48,12,0,sidewalk,green,red,green,-2.3298,2.087,-2.2559,2.211
159,unknown,0000_20230322_081506/000,38,48,11,0,sidewalk,green,red,green,-2.3294,2.0869,-2.2586,2.2062
160,unknown,0000_20230322_081506/000,38,48,10,0,sidewalk,green,red,green,-2.3285,2.0863,-2.2614,2.2019
161,unknown,0000_20230322_081506/000,38,48,9,0,sidewalk,green,red,green,-2.3275,2.0853,-2.2643,2.1982
162,unknown,0000_20230322_081506/000,38,48,8,0,sidewalk,green,red,green,-2.3263,2.0842,-2.2672,2.195
163,unknown,0000_20230322_081506/000,38,48,7,0,sidewalk,green,red,green,-2.325,2.083,-2.2698,2.1916
164,unknown,0000_20230322_081506/000,38,48,6,0,sidewalk,green,red,green,-2.324,2.0819,-2.2723,2.1879
165,unknown,0000_20230322_081506/000,38,48,5,0,sidewalk,green,red,green,-2.3232,2.0807,-2.2744,2.1836
166,unknown,0000_20230322_081506/000,38,48,4,0,sidewalk,green,red,green,-2.3225,2.0794,-2.2762,2.1785
167,unknown,0000_20230322_081506/000,38,48,3,0,sidewalk,green,red,green,-2.3219,2.0781,-2.2775,2.1727
168,unknown,0000_20230322_081506/000,38,48,2,0,sidewalk,green,red,green,-2.3212,2.077,-2.2783,2.1662
169,unknown,0000_20230322_081506/000,38,48,1,0,sidewalk,green,red,green,-2.3205,2.0765,-2.2788,2.1593
170,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3202,2.0765,-2.2792,2.1528
171,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.32,2.0772,-2.2793,2.1469
172,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3201,2.0782,-2.279,2.1416
173,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3205,2.079,-2.2784,2.1368
174,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3213,2.0794,-2.2776,2.1327
175,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3225,2.0792,-2.2766,2.1295
176,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.324,2.0784,-2.2754,2.1273
177,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3257,2.0772,-2.274,2.1261
178,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3274,2.0757,-2.2728,2.1262
179,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3287,2.0744,-2.2719,2.1272
180,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3292,2.0734,-2.2714,2.1292
181,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3287,2.0731,-2.2714,2.1316
182,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3272,2.0736,-2.272,2.1344
183,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3247,2.0754,-2.2731,2.1373
184,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3214,2.0792,-2.2745,2.1399
185,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3173,2.0855,-2.2762,2.1421
186,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3125,2.0943,-2.2779,2.1438
187,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3069,2.1051,-2.2798,2.1447
188,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.3007,2.1175,-2.2815,2.145
189,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2942,2.131,-2.2833,2.1446
190,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2874,2.1451,-2.285,2.1438
191,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2807,2.1596,-2.2868,2.1427
192,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2743,2.174,-2.2886,2.1414
193,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2684,2.1879,-2.2903,2.1405
194,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.263,2.2008,-2.292,2.1402
195,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2582,2.2121,-2.2933,2.1402
196,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2542,2.2213,-2.2941,2.1399
197,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2511,2.2277,-2.2946,2.1398
198,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.249,2.2316,-2.2948,2.1396
199,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.248,2.233,-2.2946,2.1396
200,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2478,2.2322,-2.2941,2.1397
201,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2484,2.2297,-2.2935,2.14
202,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2496,2.2259,-2.293,2.1406
203,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2514,2.2213,-2.2926,2.1413
204,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2535,2.2161,-2.2924,2.142
205,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2559,2.211,-2.2926,2.1426
206,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2586,2.2062,-2.2932,2.143
207,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2614,2.2019,-2.2941,2.1431
208,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2643,2.1982,-2.2948,2.1428
209,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2672,2.195,-2.2952,2.1422
210,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2698,2.1916,-2.2954,2.1413
211,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2723,2.1879,-2.2955,2.1402
212,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2744,2.1836,-2.2956,2.1391
213,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2762,2.1785,-2.2956,2.1381
214,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2775,2.1727,-2.2957,2.1371
215,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2783,2.1662,-2.2957,2.1359
216,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2788,2.1593,-2.2955,2.1343
217,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2792,2.1528,-2.2952,2.1325
218,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2793,2.1469,-2.2948,2.1303
219,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.279,2.1416,-2.2942,2.128
220,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2784,2.1368,-2.2935,2.1256
221,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2776,2.1327,-2.2926,2.1232
222,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2766,2.1295,-2.2917,2.1211
223,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2754,2.1273,-2.2906,2.1192
224,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.274,2.1261,-2.2895,2.1177
225,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2728,2.1262,-2.2883,2.1168
226,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2719,2.1272,-2.287,2.1165
227,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2714,2.1292,-2.2859,2.1167
228,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2714,2.1316,-2.2851,2.117
229,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.272,2.1344,-2.2848,2.1174
230,unknown,0000_20230322_081506/000,38,48,0,0,sidewalk,green,red,green,-2.2731,2.1373,-2.2847,2.1177
