sample_id,target_velocity,neighbor_count_within_radius,nbr_1_dx,nbr_1_dy,nbr_1_distance,nbr_1_velocity,nbr_1_type,nbr_1_class,nbr_1_type_enc,nbr_1_class_enc,nbr_2_dx,nbr_2_dy,nbr_2_distance,nbr_2_velocity,nbr_2_type,nbr_2_class,nbr_2_type_enc,nbr_2_class_enc,nbr_3_dx,nbr_3_dy,nbr_3_distance,nbr_3_velocity,nbr_3_type,nbr_3_class,nbr_3_type_enc,nbr_3_class_enc,nbr_4_dx,nbr_4_dy,nbr_4_distance,nbr_4_velocity,nbr_4_type,nbr_4_class,nbr_4_type_enc,nbr_4_class_enc,nbr_5_dx,nbr_5_dy,nbr_5_distance,nbr_5_velocity,nbr_5_type,nbr_5_class,nbr_5_type_enc,nbr_5_class_enc
0017,0.05443316436745776,5,-0.615528,0.51091,0.79994,0.034982,vrus,person,1,1,1.063919,0.076617,1.066674,0.118794,vrus,person,1,1,-1.026854,-0.920181,1.378826,0.187269,vrus,scooter,1,4,-1.468634,2.224712,2.665752,0.047184,vrus,person,1,1,3.143057,-3.780088,4.916083,5.058775,vrus,person,1,1
0019,0.04209028756908067,1,-3.679452,1.653937,4.034089,4.97147,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0020,4.494971666655432,1,-0.154942,1.843835,1.850334,0.078808,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0021,0.24099853001606183,1,-1.697969,0.872287,1.908922,0.065618,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0022,4.627598589981232,1,-0.013446,0.422163,0.422377,2.365471,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0023,3.06962360496201,1,0.774473,-0.242924,0.811677,4.269989,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0024,5.087536985045109,1,2.043331,-1.88532,2.780221,4.579095,vrus,bicycle,1,5,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0026,0.47735954422937876,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0027,6.151867525190298,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0028,0.10289918565958069,1,-0.257216,-0.297108,0.39298,0.273908,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0029,6.480710042596486,2,-1.488935,3.401185,3.712814,7.301136,vrus,person,1,1,1.15741,3.74078,3.915742,6.028888,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0030,0.34421669614088646,1,-1.423278,-1.646652,2.176507,0.143193,vehicles,car,2,2,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0031,1.5906948129064469,2,2.753261,2.292991,3.583051,6.250866,vrus,person,1,1,3.873227,-1.41023,4.12197,5.291913,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0032,0.20356356120770164,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0033,3.189463878358325,4,-0.451562,1.043209,1.136747,4.157682,vrus,person,1,1,-2.263477,1.58469,2.763072,0.449742,vrus,person,1,1,-0.477601,-2.72971,2.771176,2.108504,vrus,person,1,1,-3.620967,1.072271,3.776396,0.110597,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0
0034,0.6852438329357592,3,0.338028,2.713726,2.734697,0.637269,vrus,person,1,1,-0.126115,3.507616,3.509882,2.125652,vrus,person,1,1,-1.735281,4.541388,4.861626,0.162462,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0035,0.1210674259191842,4,-1.308662,-0.4917,1.397987,0.142338,vrus,person,1,1,1.528458,-1.283053,1.995598,0.163788,vrus,person,1,1,2.066722,-1.842475,2.768764,0.231695,vrus,person,1,1,1.728563,-4.594819,4.909204,0.130067,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0
0036,0.013737616203740935,4,0.52151,-0.597379,0.792991,0.147268,vrus,person,1,1,-1.530685,1.261617,1.983601,0.106722,vrus,person,1,1,-2.875114,0.820909,2.990012,0.249306,vrus,person,1,1,0.145779,-3.28775,3.29098,0.157499,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0
0037,5.945394764803274,1,0.025984,4.382174,4.382251,0.27126,vehicles,car,2,2,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0039,5.3214719281015475,3,0.636874,-0.281931,0.696487,4.973112,vrus,person,1,1,1.98903,-1.394783,2.429334,5.725691,vrus,person,1,1,-0.91176,-2.281107,2.456574,4.798929,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0040,4.781096371524914,3,0.971749,2.074921,2.2912,4.970261,vrus,person,1,1,1.656808,1.850092,2.483516,4.838899,vrus,person,1,1,2.968133,0.539924,3.016842,5.559569,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0041,6.189318674555239,3,-0.959425,1.671648,1.927408,5.052809,vrus,person,1,1,-2.016024,1.715933,2.64741,6.087042,vrus,person,1,1,-2.877572,-0.208342,2.885104,5.338121,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0042,0.11662743751994359,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0043,5.652858284741571,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0044,4.989494650739048,3,-0.634906,0.599165,0.872985,5.357362,vrus,person,1,1,1.23962,-0.250706,1.264718,5.54225,vrus,person,1,1,-1.483315,-1.93354,2.436966,5.846574,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0045,0.29679892955505194,2,-0.360336,0.08771,0.370858,0.101703,vrus,person,1,1,1.611074,-0.67139,1.745372,0.29,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0046,0.13894840208384424,2,0.212126,0.046396,0.217141,0.534966,vrus,person,1,1,1.534733,-1.405712,2.08121,0.688881,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0047,0.16510897533873195,1,0.772712,-0.876301,1.168327,0.031971,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0048,0.11837658308751892,1,-0.774521,0.84544,1.146583,0.058515,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0049,1.4359728809338768,3,-0.659281,1.641404,1.768858,0.258377,vrus,person,1,1,-1.036962,1.832792,2.105806,0.05938,vrus,person,1,1,1.836077,1.372174,2.292169,2.76968,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0050,5.718863389582802,4,-1.07493,-0.126268,1.082321,8.846249,vrus,person,1,1,-1.308986,-0.301009,1.343149,5.277511,vrus,person,1,1,-1.309923,-0.859769,1.566876,8.978524,vrus,person,1,1,-1.837058,0.088943,1.83921,5.724803,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0
0051,5.2413226086546025,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0052,5.694635472635243,2,2.574027,4.010612,4.765566,6.664732,vrus,person,1,1,2.154362,4.411199,4.90917,6.580036,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0053,0.5988221130865736,2,0.37256,-0.390837,0.539958,0.978747,vrus,person,1,1,-0.273556,-3.974759,3.984161,31.079773,vehicles,truck,2,3,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0054,4.746923477072322,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0055,8.347824700985267,2,-0.035854,-0.623811,0.62484,8.233392,vrus,person,1,1,0.771905,-1.06539,1.315634,6.921712,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0057,0.04928256367812349,2,1.273687,-1.580721,2.030014,0.00848,vrus,person,1,1,1.724926,-2.75126,3.247275,1.561583,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0058,0.11723066082079413,2,0.665551,-1.108676,1.293105,0.278185,vrus,person,1,1,-1.063817,1.691236,1.997996,0.115921,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0059,0.05068304871707196,2,-1.10248,1.270776,1.682359,0.050824,vrus,person,1,1,-2.272862,2.563421,3.425935,0.028891,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0060,4.670464886901406,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0061,2.986355625993838,3,0.029355,0.557525,0.558298,1.986295,vrus,person,1,1,-2.095375,-3.049822,3.700271,6.88397,vrus,person,1,1,3.031602,-3.512269,4.639681,0.772797,vehicles,car,2,2,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0062,1.9862947196582728,2,-0.029355,-0.557525,0.558298,2.986356,vrus,person,1,1,-2.12473,-3.607347,4.186578,6.88397,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0064,0.20665492105785388,1,1.049186,-0.697084,1.259649,0.052587,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0065,0.2050664286819741,1,0.287055,-1.41145,1.440345,0.387259,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0066,0.36295342732138264,1,-0.415952,1.343658,1.406567,0.191064,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0067,0.13209722819710473,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0068,0.5380621242527509,2,1.758271,1.700853,2.446307,0.10584,vrus,person,1,1,2.110578,1.629824,2.666621,0.069592,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0069,5.39709043876181,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0070,4.926088558454326,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0071,0.2647284241370673,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0072,4.399051033046069,3,0.814712,0.393314,0.904684,4.562789,vrus,person,1,1,1.061949,0.533038,1.18822,4.653283,vrus,person,1,1,2.438497,-4.023617,4.704866,6.182634,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0073,5.42059315171809,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0074,5.988368254266137,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0075,6.231871347548197,4,0.568767,0.606829,0.831708,4.554803,vrus,person,1,1,-0.582468,1.052366,1.202806,4.834909,vrus,person,1,1,-1.595158,-2.390945,2.874221,5.425393,vrus,person,1,1,-1.618775,-3.898989,4.221676,5.119573,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0
0076,0.04514871840159425,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0077,0.14066040348824296,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0079,0.42795765258450535,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0080,5.2962745147315715,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0082,0.0241242043816109,1,3.859364,-0.537879,3.896666,0.026144,vrus,bicycle,1,5,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0083,5.339410461330561,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0085,5.084421172372101,2,0.765493,0.027991,0.766005,4.684169,vrus,person,1,1,0.627449,-0.733049,0.964911,4.708509,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0086,4.7186601747391235,2,-0.628281,0.468942,0.783992,5.26211,vrus,person,1,1,0.711006,1.059706,1.27613,4.234927,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0087,4.359973129171173,2,-0.738246,-1.068834,1.299005,4.718425,vrus,person,1,1,-1.380897,-0.617044,1.512488,5.159753,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0089,0.07202524553630396,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0090,0.1303770282550002,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0091,3.3929968318202475,1,0.527885,-0.369358,0.644273,3.033755,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0092,0.1084158183069566,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0093,5.212241114674179,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0094,5.498616526599888,1,-0.391267,-0.438893,0.587977,5.32864,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0096,3.0297672519363714,3,-0.249082,0.13184,0.281822,2.653832,vrus,person,1,1,0.427646,2.54251,2.578224,0.008318,vrus,person,1,1,2.574511,-3.977501,4.737997,5.043239,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0099,5.913244197941523,1,0.475572,0.253938,0.539123,5.869609,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0100,0.02798398133978923,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0101,0.019273400991020866,2,1.519205,0.54522,1.614079,0.081327,vrus,person,1,1,-1.163492,1.202049,1.672912,0.030947,vrus,bicycle,1,5,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0102,0.005137671391852687,3,1.035831,-0.564536,1.179681,2.048001,vrus,person,1,1,-1.346883,-0.587021,1.469247,0.173395,vrus,person,1,1,-2.469039,0.557617,2.531223,0.03031,vrus,bicycle,1,5,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0104,5.851636380933935,2,-2.026088,-0.596024,2.111936,4.706966,vrus,person,1,1,-1.479555,1.51484,2.117504,5.014625,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0105,4.93100680668694,1,-0.61235,-0.391909,0.727024,4.513802,vrus,bicycle,1,5,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0106,2.818522456596695,3,0.515487,-0.485313,0.707994,4.320979,vrus,person,1,1,-3.863624,-2.888258,4.82386,3.257331,vrus,person,1,1,3.852375,-3.183646,4.997638,10.065151,vehicles,car,2,2,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0107,5.169619089511609,1,-0.188085,0.109884,0.217831,5.999602,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0109,0.6810330659880173,3,-0.359467,0.093168,0.371345,1.304033,vrus,person,1,1,-1.765845,0.325677,1.795627,0.277784,vrus,person,1,1,-1.458329,-3.944313,4.205274,13.583521,vehicles,car,2,2,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0110,5.513698839760851,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
0111,5.407928188335574,1,0.202121,0.541544,0.578034,5.637424,vrus,person,1,1,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0
